,Unnamed: 0,Unnamed: 0.1,text,label
1896,3614,3614,طالع حزب الله وكلابكون من سوريا وبكرا منرجع       ,1
3464,2442,2442,معقول وهاب و ارسلان عم يشربو من الليطاني لتفكيرن هيك خرا ,0
2040,314,314,ما فهمت من المخطئ ,2
986,443,443,معالي الوزير خليك بالجاهلية وخازوق الجاهلية وشو بدك بقطر ,0
2022,5411,5411,تشعر بالسعادة لما تشوف أحد الأشقاء متعاطف مع مظلوميتك و بعدها تنصدم انو نفس الشقيق من عشاق سيادة حاكمو المفدى حجي نحنا شعب بجم و همج و دون و بنستاهل كلشي عم يصير فينا شيل تعاطفك و حل عن قفانا يقطع عمرك مأغلظك,2
94,1215,1215,انت قد عماد عثمان ياصوص ,1
2105,1890,1890,صحيفة الاخبار يا خرى هيدي تابعة للخنازير اتباع نظام بشار بدك ناخد بي كلامهم وشو بيكتبوا روح اعمل رجال و… ,0
3420,2247,2247,وهاب نتمنّى على علاء الخواجا الإسراع في تشكيل الحكومة ,2
2770,2220,2220,تجلس المواطنين ع خازوق من قياس …,2
1726,1426,1426,ناس مريضة بالتخوين و الجلقان,1
3865,5046,5046,لا والله يلعنك ويلعن تركيا و روسيا و ايران يا ارقى انواع الطشم و هل بعد العلوي طشم يلعنك محتل,0
308,5106,5106,هدول مستعدين يقتلوا الناس هيك شروي غروي لازم نقتلون كلن,0
682,90,90,يا بلا مخ يا حيوان في الاف بقطر عم يسترزقو مش كرمال يجي راحد متاك صرماية يعمل خلاف روح نقبر ضب زعرانك ع… ,1
1730,1614,1614,يا ريت قبل ما تحاول تحكي إنك تبحث عن الحقيقة؛ بس إنت كل همك تسجيل موقف ,2
3743,4516,4516,فالفيردي كلب ابن كلب,1
2423,1207,1207,ياخوان والله مو عنصريه بس أكره السوريين والفلسطينين كره ما يعلم فيه إلا الله,0
831,3669,3669,قطر دويلة الارهاب والشر في العالم ,0
1267,2292,2292,نحنا مع الوزير المحترم جبران باسيل  ,2
1610,4728,4728,يسعد أوقاتك معالي الوزير ,2
1971,1559,1559,نهاركم سعيد ديما شو لابسة اليوم  عنجد بعشق شو بتلبسي هيك، يا عمييي في اجمل من هيك صباح  ,2
1791,1615,1615,سعادتك شو بدك تحاسب لتحاسب، لبنان غرقان بمتاهات الزعرنة والعكرتة، والصفقات المشبوهة على حساب الشعب ,2
2031,5038,5038,تضرب منك لحزب اللات عمللء ياطشم,0
2330,5255,5255,والامامو علي انه كلاب اربتعش آذار ما بدن الى شباب حركة أمل,0
3217,4101,4101,عباس يا نوري يا قرباطي اعرف من هو اباك اعمل ال د ان اي يا حفيد السستالني,0
3791,3231,3231,هاد تهليل لجبران باسيل قال شحدها من امير قطر عفوا طلبها طلب على اساس يعنل شي نجاح شخصي فاعطاه قرض ونبسطوا عليه لانو اجيت الرزقة ,2
3909,3188,3188,والله وصاير شعراوي يا واوي بعرفك حمار ما بتحكي غير كلمتين حافظن لتسب العالم   ,1
1614,2437,2437,معاليك في ناس كتير بتنسى اصلها على رأي المثل قال بتعرفو شو مشكلة الديك بينسى انو كان صوص ,2
3019,3089,3089,اخت الزمان يللي خلا كلاب المزابل يطلع صوتها لكل الجرادين العونية الالاهية برد و بقللن انو سامي الجميل عندو عنفوان    ,0
131,3353,3353,سمعني لعنة روحه يلا يا علوي فشرت تكون سني,0
1765,463,463,انو عم تتعاطى خرا بكوكائين ولَك مين انتي ومين شايفك من ارضك قال وفد قال ودخلك الوفد بالستيانات باعتو ,1
1080,1743,1743,ما لقيت جريدة موضوعية غير جريدة الاخبار؟؟ ,2
2053,3544,3544,اذا معلمي زنديق انت معلمك شو ابن متعة انضب احسن ما كمل القصة يللي بتعجبك ,1
2382,1137,1137,ولا واحد انا برشح او جبران باسيل او سامي الجميل,2
2660,5077,5077,صح بشار ابن كلب بس قليل اللي عم يعملوا بالسوريين شعب عرص منافق بلا ضمير بيكون لاجئ بيصير بده يتطاول عللي مستضيفه,0
1254,4431,4431,يلعن ابوكن شبيحة تفو عليكن وعلى الجحش بشار والجحش حسن زميرة,0
569,3290,3290,يا نصراني ابن المجرم أنت أخبث من الحمار سبعين ضعفا يا كلب,0
2601,5670,5670,قويه هاي    ,2
1659,2264,2264,يبدو أن أسيادك في دمشق يؤلمهم الخازوق القطري ومنزعجين من الموقف اللبناني الرسمي مما يفسر ارتفاع حدة صراخك ,1
2767,3698,3698,ميرسي يا رفيقة تعبناكي معنا,2
3570,3244,3244,لو منك حيوانة وكذابة وجبانة بتحطي كلامك يا قواتجية في ابشع من يكون حثالة متلك بلقوات لينشتموا تافهة مقرفة لاعقة احذية او لاعق احذية جبان,1
2259,3815,3815,ولعها وهيك بتكون الشقيقة قدمت اكبر خدمة لشقيقتها        ,2
25,5084,5084,هو من حزب الحق والعقل يا بهيمه الاخوان,0
3504,767,767,الظاهر الجزيره بطلت تعطيك مصاري تتنبح كالعاده ,1
1837,1598,1598,يابنت لجنوب ما انت اول وحدة مع اسرائيل وضد المقاومة ما فهمتك مفصومة من ايمتى هل شرف والوطنية لدبو عليكي فجاة ما شفت احقر منك,1
