,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,label,tweet,contain_bad
0,842,3,0,3,0,1,# anywere & # 8220 ; @ TheCooleyShow : LA = palm trees and great weather Any were else = horrible weather and no   & # 8221 ;,1
1,17156,3,0,3,0,1,RT @ OfficialA1King : The face you make when you see a   trying to preach on twitter http : //t.co/2T1UkUDQBw,1
2,24119,3,0,3,0,1,  get off my twitter   & # 128074 ;,1
3,10379,3,0,3,0,1,I can taste loud n   on my   & # 128541 ;,1
4,8958,3,0,0,3,2,Diabetes galore & # 128514 ; & # 128514 ; & # 128514 ; & # 128514 ; & # 128514 ; RT @ TIME : Colorado health officials recommend   brownie ban http : //t.co/Z59oy20TMp,1
5,4000,3,0,3,0,1,@ LaneBelgarde @ A7XDemery you     didnt even invite me,1
6,19313,3,0,3,0,1,RT @ djMemphis10 : Never hurt your Girlfriend to make a   happy & # 128175 ; # djmemphis10,1
7,22552,3,0,0,3,2,This is why nothing gets done .   like Coburn trying 2 ad a   amendment 2 a public works bill . Push back on the # teabagger # morningjoe,1
8,19145,3,0,3,0,1,RT @ ccancel14 : Miserable   talk the most   & # 128514 ; & # 9996 ; & # 65039 ;,1
9,12309,3,0,3,0,1,Its gorg out ! RT @ @ anggxo : This   thinks its june or something @ BriiiXO http : //t.co/mFVCmym,1
10,12565,3,2,1,0,0,Know why the ultimate warrior   ?   LOVES   # toosoon ? He was an anti-gay crusader   a little light jokes are necessary,1
11,6103,3,1,2,0,1,@ eonline she looks like a real   now,1
12,9344,3,1,2,0,1,  me den  ,1
13,23808,3,0,3,0,1,You got wild   tellin you liessss,1
14,6810,3,0,3,0,1,@ makenzies_mask ur a boss    ,1
15,11123,3,0,3,0,1,I really wan na have a talk about life with the ``   her right in the   '' dude while smokin a blunt before I  ,1
16,20185,3,3,0,0,0,RT @ nick_pertile : Oh my goodness do I hate   people .    ,1
17,11619,3,0,2,1,1,I 'm not a   because I think two men and one woman together is a   and NOT a TRAIN . # getyamindright,1
18,19799,3,0,3,0,1,RT @ jogonzalez_23 : & # 8220 ; @ shinglewarf : # single http : //t.co/zLzg6sjBbh & # 8221 ; NOOO `` my nuts   '' & # 128514 ; & # 128553 ; & # 128553 ; & # 128553 ; & # 128553 ; & # 128553 ;,1
19,19706,3,0,3,0,1,RT @ itsDonLeach : You 're still a   @ BarackObama,1
20,22562,3,0,3,0,1,This ma   @ trigga_tre123 & # 128076 ;,1
21,22049,7,3,4,0,1,The movie # abouttime a hard   chick flick . This   goes back in time if he but too quick n   the   over n over lol,1
22,10660,6,0,6,0,1,I got some yard work i need done ... .you got me ? RT @ MidCityAce : Control your excitement sir ... & # 8220 ; @ 11wdNICK : Lets gooooo Teena   ! ! ! & # 8221 ;,1
23,21095,3,0,3,0,1,Seaside smell like stank     bruh & # 128514 ; & # 128514 ;,1
24,13781,6,2,3,1,1,Not protected in the state of Utah . There is no   of   couples forcing   to marry them . They do not legally have to do   .,1
25,8119,3,0,3,0,1,Back in this   again ... .,1
26,7867,3,0,3,0,1,All y'all   corny lol,1
27,3613,3,0,0,3,2,@ Ish_MallyMal August is trash,0
28,17951,3,3,0,0,0,RT @ Tae_Rhodes : & # 8220 ; @ kim92493 : & # 8220 ; @ Tae_Rhodes : @ kim92493 @ patpatbush uhhh you 've been judged & # 8221 ; it happens . # whitepower ... I 'll hang you   & # 8221 ; wo & # 8230 ;,1
29,21692,3,0,3,0,1,"Sure I got a nice car , a 60 inch tv , stainless steel appliances in my apartment and a few thousand twitter followers but I ai n't got no  ",1
30,5134,3,0,2,1,1,"@ ThequeenSOxILL I 'd rather ask yours , is she a nappy headed   too ? And is your grandma as well ? I 'd be ashamed to be in your family .",1
31,19569,3,0,3,0,1,RT @ iDeepuDJ : I always waste my time on irrelevant   ! & # 128528 ;,1
32,17296,3,0,2,1,1,RT @ PlMPCESS : im     done with @ sprint i   hate you guys and your insurance policy is trash and omg square the   up,1
33,16615,3,0,1,2,2,RT @ LiveAndUncut : When I say Tainted I do n't necessarily mean   or scandalous . It could be a number of things .,1
34,2174,6,0,6,0,1,"'Every   got a     or she $ 3,000 from it ' # RNS",1
35,20961,3,0,3,0,1,"Remember when I told yall bout my coworker not lookin out a couple weeks back ? .. Karma 's a   , got his   .",1
36,17084,3,0,2,1,1,"RT @ Nostradamnisuck : Mary had a juicy clam , Was always good to go Little touch of boated man And she began to flow # HallmarkNostraCollecti & # 8230 ;",0
37,771,3,0,3,0,1,# RayRice is still a   . @ NFL got this one wrong . Women fans should be livid ! # NoExcuses,1
38,16479,3,0,3,0,1,RT @ LILBTHEBASEDGOD : I only eat gluton free   - Lil B,1
39,19551,3,0,3,0,1,"RT @ iAmKilo_Bae : Its 2 things in this world that I aint seen , thats a UFO & amp ; a   that I need ! !",1
40,11253,3,1,2,0,1,I think its funny how   talk bout being   .,1
41,13284,3,0,0,3,2,My bf @ iamthedannibal loves crows . Thought he might enjoy the last tweet !,0
42,20741,3,1,2,0,1,RT @ vodkapapixo : `` @ Weed_Cloudz : `` 6   '' by Drake is trash '' thank you,1
43,8470,3,0,2,1,1,But Carl is a   & # 128526 ;,1
44,17299,3,3,0,0,0,RT @ PluggedInPiff : Green azz   ! ! ! ! & amp ; yall new   condone dat sucka activity dat why they keep doin it ! ! !,1
45,7660,3,0,3,0,1,A lotta u niccas ai n't who u say u is !,0
46,23008,3,0,3,0,1,We need to start having a fantasy team of UT   lol,1
47,19899,3,2,1,0,0,RT @ kristajayMFC : No mom . Im not `` dramatic /immature '' i just have   mental problems and youre a   and a   .,1
48,14260,3,0,3,0,1,Promises were made   . You are now my bxtch,1
49,19809,3,0,3,0,1,RT @ joshuaxallen_ : # tbt Halloween 2011 a spoopy   and her   daddy http : //t.co/oQVP80EGhx,1
50,3674,3,0,3,0,1,@ JZolly23 @ HannahKubiak Everybody knows that   love mullets # Pantiedropin,1
51,22519,3,1,2,0,1,This   car smell like   let off a   potato   in her   !,1
52,13712,4,3,1,0,0,"No half-breed   has any right to say anything to any Anglo ever , and should be   for doing   .",1
53,12860,3,0,3,0,1,Lmfao all   is   then,1
54,14737,3,0,0,3,2,RT @ BirdGang316 : If you a bird throw it up # birdgang # EaglesNation,0
55,8887,3,0,1,2,2,  DGAF ! RT @ Maxin_Betha @ 80sbaby4life got ta chill wit his yellow # 4thofJulyFly outfit man RT @ dominicanraf http : //t.co/uImF6sDI,1
56,9808,3,0,3,0,1,Got uh   dat set it off like Jada Pickett & # 128130 ; & # 128176 ; & # 128176 ; & # 128293 ; & # 128299 ; & # 128299 ;,1
