,Unnamed: 0,text,label
4055,1648,@lawyerberlin @AfD_HD Die werden doch wieder von der Anarchistenfreunliche Justiz freigelassen.,0
2196,4625,1933 sind Deutsche auf den Europa #Zerstörer Hitler hereingefallen |LBR| Jetzt tun sie es wieder bei der #Zerstörerin Europas Merkel |LBR| #AfD wählen,0
3860,590,@BVWattenscheid wer Demonstranten nicht angreift dem passiert auch nix.,2
4407,1077,@IAMMASCHO Hitler war auch nicht absolut böse sondern hat viel gutes auch gemacht,0
1235,423,@SchuhmacherFr @OnlineMagazin Ehrliche Antwort : wir haben Schwachmaten und Dumpfbacken als Politiker! 😉,0
448,182,@SM100d Schäuble als Finanzminister war ein Desaster. |LBR| Und seine Tochter wird von der GEZ bezahlt |LBR| Müssen wir wirklich für alle Schäubles aufkommen..?,2
1175,3996,"@chvoyage @SusiAnsujali ne. das mache ich nicht. und bitte unterscheiden sie zw. rechts, rechtspopulistisch, rechtsextrem, usw. wenn es links gibt, gibt es auch rechts.",2
3268,1723,@tagesschau Öffentlich-rechtlichen Nazi Medien und Merkel Vasallen setzten ihre Hetzkampagne gegen den Präsidenten der Vereinigten Staaten fort!!,0
4847,2346,@tagesschau Unsere Politiker sind zu blöd einen Terroristen auszuweisen weil er keinen Pass hat!!!,1
63,1422,"#Brüder So lange der Koran nicht Refomiert ist, und der Fundamentalistische Gedanke im Herzen der Muslime verankert ist, wird es nie Frieden zwischen Christen und Moslems geben.",0
4973,2279,Jeder der den Koran verbrennt absoluter Ehrenmann,0
3019,1727,@anna_IIna @Renft1964 eutschfeindliche Richter sind von Merkel eingestellt und stehen unter ihrem Befehl!,0
2974,4610,"Menschlich, kompetent, entschlossen. verantwortungsvoll: Bundeskanzlerin Angela Merkel war überzeugend und Gewinnerin im #TVDuell",2
4276,1385,@machtjanix23 @Junge_Freiheit Abends kommen immer Themen für Ältere. Und dann Bernd das Brot 🍞😉,2
976,89,@deanerschnitzel @_boycottlove ein paar von den großen Medien haben es tatsächlich hinbekommen. Der @ndr zB. mein ich.,2
2459,3990,@paddema @mqua Der hat Zuviele Bälle an den Kopf gekriegt.,1
4767,4001,"@Platiniumray Sicher doch und es würde besser gehen, wenn 100TSD Mecklenburger Kühe das politische Berlin zuscheißen würden 😜",1
3489,1993,#Familiennachzug. |LBR| Sollen diese Feiglinge doch wieder zurück zu ihren Familien gehen. Warum alle nach Deutschland holen?,0
1068,545,Ihr Würstel glaubt an den Schaden einer Erderwärmung. Genau |LBR| das Gegenteil ist der Fall.,1
2821,2396,@welt das Volk wird geschröpft und die Elite erhält Milliarden!! Das Volk wird verarscht!!!😡😡😡,2
4189,1360,"@Paeulchen Das war und ist sie tatsächlich in ihrem Größenwahn, denn für MACHT verriet sie bereits einen Staat und wird es wieder tun (wollen) 😜",1
2565,2886,"#CNN hat offenbar nur #Linksgestörte, #Geisteskranke &amp; Leute mit schweren psychischen Defekten unter Vertrag ...",0
2292,1094,"@info2099 @SnoopysBrain @1Netzreport @peppermind @mittelfinger Er sagte weiterhin ausdrücklich, das es keinem der aufgrund des Grundgesetzes gewählt wurde zusteht an dem Prozess mitzuwirken da diese für die Alliierten arbeiten, und sich ihre Akte erst vorher genehmigen lassen müssen, Punkt aus‼️",2
562,565,Mal schauen wieviel #Frauen dieses Jahr von illegalen Einwanderern #vergewaltigt oder #belästigt werden. |LBR| Ich hoffe aufrichtig sollte es dieses Jahr #Silvester wieder eskalieren dass sich die Europäer endlich erheben und es zum #Aufstand kommt der in die Geschichte eingehen wird.,0
3666,4365,"@princevince_01 @AntonBruckenput @TimFelber @Beatrix_vStorch Komm schon mit NSU du Honk, halte Schleyer,Buback usw dagegen ! Die dusselige Reker hätte doch eine Armlänge Abstand zu dem einen halten kö.",0
4886,1275,"Bananen, Reisefreiheit, VW sollten uns näher gebracht haben? Nein, hätten wir doch auch Merkel u. Co verschenkt u. lieber Äppel gefuttert 😜",2
2116,4053,Die Afrikaner können wir in Europa nicht brauchen. Sie müssen zurück |LBR| und in ihrer Heimat endlich anpacken. Unsere Sozialsysteme schließen.,0
652,801,"@InesHenkler In etwa 😂 aber besser, als sich um Michelin-Nachwuchs kümmern zu müssen 😂😂😂",2
1704,2691,Ich bin wirklich entsetzt wie viel Idioten immer noch zu Merkel und Co. stehen.,0
3627,2269,@feldenfrizz @info2099 @ThomasGBauer @Nessie43 @AthinaMala @petpanther0 @_macmike @NoHerrman @ellibisathide @md_franz Sie forscht seit 30 Jahren,2
3713,4940,"@SJW_MadBunny @Steffmann45 @machtjanix23 @troll_putin @petpanther0 @mastermikeg @Norbinator2403 @ennof_ @AthinaMala @NancyPeggyMandy @info2099 @lifetrend @ThomasGBauer @SchmiddieMaik @charlie_silve @NoHerrman @willjrosenblatt @feldenfrizz @nasanasal @_macmike @ellibisathide @MD_Franz Hab ihm geschrieben, es geht mir am Arsch vorbei, wenn man mich in D nicht mehr sieht.😂😂😂",1
2554,4004,@ainyrockstar Helene Fischer ist wie Bumsen mit Kondom.... Macht einfach kein Spaß :-),1
639,1109,"Angela Merkel im t-online.de-Interview -  Wie kann man in so kurzer Zeit nur so viel Schei** labern, lügen u. der Welt etwas vorgaukeln🤢🤢🤢",1
3900,3822,"Und Gedeon fragt auf seiner Website heute: ""Wieweit beeinflusst der Zionismus unsere Justiz? Wieweit ist diese noch demokratisch frei und unabhängig?"" |LBR| Er wehrt sich bislang unseres Wissens nicht dagegen, nicht nur ""Holocaustleugner"" sondern auch ""Antisemit"" genannt zu werden. |LBR| 2/2",2
2480,2111,@Spekulant1 @SZ @EveRoll entschuldigung. sie verstehen ja grad nicht mal ihre eigenen worte,2
3235,1581,@Ville__7 @morgenmagazin @maischberger wenn man humor nicht versteht (s. kurz übrigens schon).,2
3036,3991,"Wenn Merkel u. ihre Speichellecker über Demokratie sprechen ist es in etwa so, als wenn der ""1000-Jährige"" über Frieden sprach &gt; HINTERLIST😜",0
1322,1655,Ohne die vielen engagierten Helfer vor Ort wären die Freien Demokraten: nichts. #TagdesEhrenamts ist ein Anlass Danke zu sagen. CL,2
2992,3929,"DeMaiziere möchte nun auch endlich die Opfer vom #Breitscheidplatz höher entschädigen.Werter Minister,ein Opfer brauchte MONATE,um seinen Anspruch auf notwendige Psychotherapie durchzubekommen. |LBR| #deranschlag #CDU",2
1444,3143,"@pseudonymphe @anked @RegSprecher Wir von @FlchtlngWllkmmn warten auch darauf,dass endlich einer der großen Politiker*innen Stellung bezieht",2
749,4418,@gagaberlin @artepmobil @focusonline Auch ein begünstigter Scherge des Systems,1
842,543,@Hartes_Geld Irgendwie beruhigend das es woanders noch schwachsinnigere Politik gibt als bei den deutschen...,1
3849,1368,@IAMMASCHO @RAIMINEM Träum weiter undemokratisch sind alle altpartein aber nicht die afd was Merkel und konsorten machen ist Landesverrat,0
4030,75,"@cuffedCatling zu einem anderen Ergebnis kam. Vielleicht erschien ihr (der Community) der Kontext klarer, keine Ahnung.",2
4045,2907,"@NoHerrman @HolgerScherer @feldenfrizz @AthinaMala @info2099 @Nessie43 @ThomasGBauer @petpanther0 @_macmike @ellibisathide @MD_Franz Wir sind aus der Schweiz ausgewandert - wegen zuviel Dekadenz. Bergpanorama ist Spitze, was in den Bergen ist, ist hochinteressant....",2
436,443,@RamazanAkbas37 @BilgiliUeretmen Das ist ein Spinner der Türken hasst,1
2563,3300,"@bicyclo222octan @Schlawino Nur ""DER"" hatte noch Soldaten, ""Mutti"" hat nur Flintenuschis Schnullertruppe 😜",1
3211,1061,"Zum vorherigen Retweet: Die ""Tolerant? Sind wir selber""-Filme haben wir im Sommer bei der Pride Night gezeigt. Sehenswert! ^ml",2
3645,4509,@katjakipping @dieLinke @CSU Gratuliere ebenfalls und den Linken eins aufs Maul!,0
595,4800,"@Ismailtipi Viel Gefährlicher sind die Fundamentalisten, die auch in Wiesbaden wohnen.",2
1714,2784,@IAMMASCHO @RAIMINEM Hitler wollte uns nur von der Roten Pest befreien ausserdem hatte Polen schon 1935 den Plan gehabt Deutschland anzugreifen Hitler ist ihnen nur zuvor gekommen,0
4784,2887,@g_vau Die Roten importieren Judenhassende Moslems ohne Kontrolle und du heulst wegen einem Liedtext rum? #Landbauer,0
503,1567,Ihr könnt uns nun auch auf unserem intl. Account folgen @RefugeesWlcm |LBR| Vous pouvez nous suivre pour des tweets en Anglais sur @RefugeesWlcm,2
4051,3142,"@Papier451 Früher haben wir den Ostblock als Feind gesehen. Heute sind sie die einzigen, die sich gegen die Willkür der EU stellen, und nein zu Merkels Asyl Wahnsinn sagen. Lieber auswandern als weiter Leiden.",0
2591,1386,@Paul77306629 Sie scheitern offenbar wirklich schon am Rudimentärsten. Erster Absatz des Textes. 🙄 |LBR| Und by the way: seitseid.de,2
4280,1365,"Die meisten Schiffbrüchigen sind doch keine Flüchtlinge, sondern |LBR| rücksichtslose Invasoren. Wann begreift Ihr politischen Hohlköpfe das?",0
1207,1401,"@AkifPirincci Naja,zu Lauterbach,ich kenne viele Leute die es besser machen würden und zum Dummerchen Thomalla , Merkel ist der Skandal, Watt für IRRE!",1
2023,4978,"Hört endlich auf, von den gegenseitigen Drohungen der 2 Primaten |LBR| zu berichten. Es wird langweilig. Beide sind zu feige, zu handeln.",1
