,Unnamed: 0,text_id,text,task_1,task_2,label
3596,3596,hasoc_de_3597,@FinjaFinte @AegisBridge Statt Gammelfleisch Spieß gibt es jetzt an jeder Ecke Burger-Buden. Vermutlich ist die Gewinnspanne bei dem Frass größer.,NOT,NONE,2
303,303,hasoc_de_304,"Retweete diesen Tweet, wenn du auch dafür bist, dass “Flüchtlinge“ in Wohngebiete von Grün-Wählern angesiedelt werden🤨🥳",HOF,HATE,0
1017,1017,hasoc_de_1018,Sylvia Stolz tanzt verbotene Gedanken https://t.co/SKLmKhKVcQ,NOT,NONE,2
67,67,hasoc_de_68,"@ArasBacho ● Massive Eingriffe in die Freiheitsrechte  ● Schwächung der wirtschaftlichen Mitte  ● Massive Steuermehrbelastung der Bürger  ● Sozialistische Tendenzen #r2g    Vier Gründe, die #Gruenen nicht mehr zu wählen...    Und nun? 🤔  #Kanzlerkandidatin",NOT,NONE,2
3080,3080,hasoc_de_3081,@Hartes_Geld @Joe130978 Die leben sowas von vom Drogendealen 😂    Typisch Frankfurt 😂    So muss das !   Der selbständige Mittelstand muss gefördert werden 💪,HOF,OFFN,1
1063,1063,hasoc_de_1064,"Keine Gnade: Opa Peter (87) zu Haftstrafe verurteilt, weil er aus Hunger Käse für 4,55 Euro stahl‼️Das MERKEL Regime geht hart gegen das eigene Volks vor, Illegal eingereiste Sozialtouristen hingegen fasst das System stets mit Samthandschuhen an. https://t.co/oaulyEykhW",HOF,OFFN,1
2292,2292,hasoc_de_2293,"Brutale Ehrlichkeit in Wien: Mordserie an Frauen als Folge der Migrationskrise festgestellt. Extreme Frauenfeindlichkeit, Antisemitismus und radikaler Islamismus wurden mit 'Flüchtlingen' importiert.  https://t.co/9DZ8apeAAS",HOF,HATE,0
2538,2538,hasoc_de_2539,"@suse1603 @EmmanuelMacron Weil wir uns überall klar GEGEN Gewalt und für friedlichen Protest aussprechen? Vergessen Sie es einfach, Ihre linke Dauerhetze glaubt Ihnen niemand. Gewalt und brennende Autos sind in Deutschland eher Sache Ihresgleichen!",HOF,HATE,0
855,855,hasoc_de_856,@welt Über 31.000 Wissenschaftler unterzeichnen Petition: Hypothese der vom Menschen verursachten globalen Erwärmung ist falsch    https://t.co/AVmWrqr3C6,NOT,NONE,2
396,396,hasoc_de_397,"Wenigstens einer aus der CDU, der es mit der Wahrheit genau nimmt und sich nicht von so einer Stasitrine hinter die Fichte führen lässt.     Maaßen rechnet mit Flüchtlingspolitik von Merkel ab https://t.co/ZDdJY9fX13",HOF,OFFN,1
