,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,tweet,label,number_votes,num_label,contain_bad
0,3709,6717,173,173,Good analysis of whats at stake for farming and the environment from #Brexit by @BarryGardiner on #bbcaq,normal,4,2,0
1,44795,6863,9241,9241,"His scenes with clay are the funniest, also it's funny that he attends school he looks so much older but I sill lov… https://t.co/iDZzNWgnvN",hateful,4,0,1
2,23185,51509,71721,71721,@Whoalaurens i think he's cute or w/e and he makes good music but i can also make fun of him w/o a guilty conscience,hateful,2,0,0
3,19649,19997,20927,20927,"@FoxNews @nypost I aplaud this initiative, it's to give more equality to black Americans at the college.",hateful,3,0,1
4,11830,3701,64896,64896,"@ Davidson professor: when u assign a mandatory movie at a specific time and place, we expect you to show up",normal,4,2,0
5,26997,35861,36271,36271,RT @lilprinsus: men are so ugly like ill put money on his dick being under 6 inches dont speak on womens tits when u probably 2 sma…,hateful,4,0,1
6,7006,34211,60343,60343,@SetItOff @MaxxSIO @CodySIO if I can make u guys laugh with why Im gonna be on crutches for ur show tonight will u let me come onstage w you,normal,4,2,0
7,49254,43439,35435,35435,"Dell Inspiron 15.6"" i3-5015U 4GB 1TB I3558-5500BLK HDMI BT https://t.co/hSZxMEngXm https://t.co/KLjYuhvMT2",hateful,2,0,0
8,964,82361,32523,32523,RT @AntiRyro: RT IF YOU HATE RYAN ROSS BECAUSE HE'S AN EMO LESBIAN,hateful,5,0,1
9,2724,23971,308,308,Bombshell Article by CBS #trump #russiagate #fbi @RaceForTheWH @TomPaine1737 @JrHollis60 @therealzanetta https://t.co/C5uSAVLwfL,normal,3,2,0
10,45118,54668,94414,94414,"AURORA &#128247; on her Instagram, in countryside of England for a few days.&#127807; Thanks to Nic, Cara, Iz and Nina.❤ https://t.co/PlwXsZxUI4",normal,5,2,0
11,36794,6085,28731,28731,"All the gushing over Cena &amp; Nikki makes me puke. Just because he put a ring on it doesn't mean he'll marry her. If he does, it won't last.",hateful,2,0,1
12,27492,63196,64226,64226,Here's our daily headline #news via The New Age at https://t.co/FlNpohYKGb Stories via editor @WillemTait Stories via @The_New_Age #ancyl,normal,3,2,0
13,976,40196,44774,44774,"Thou hast also given me the shield of thy salvation: and thy right hand hath holden me up, and thy gentlen…… https://t.co/jgCgImdkK5",normal,3,2,0
14,21334,78188,28008,28008,"I ain't really worried about you niggas &amp; you really shouldn't be worried about me neithaaaaa. I got shit to do, you got a soul to find.",hateful,5,0,1
15,32840,25304,77661,77661,"NEW VID IS UP❗ #DolanTwinsNewVideo ""I'M CALLING MOM"" https://t.co/NK61tJL4zl thank you for making me laugh &#128156; @GraysonDolan @EthanDolan 171",normal,3,2,0
16,17292,14528,66956,66956,"RT @heartlle: Dude looking at his shorty like ""Man I'm bout to say fuck this stupid ass prom"" https://t.co/caYtV7dKgM",abusive,4,1,1
17,49391,48531,15353,15353,RT @starbeca: @EmoFruitLoop @Ashton5SOS That describes the feelings of like every fucking person in the fandom,abusive,2,1,1
18,19948,51748,81638,81638,RT @Kinsey1010: But it was fucking sunny a minute ago &#128553;,abusive,5,1,1
19,40047,577,50167,50167,me: so many people thirsty for blackwatch genji his face isn't even showing wtf also me: hatake kakashi is daddy &#128525; https://t.co/F3QCpzVAjh,abusive,2,1,1
20,25893,68250,90325,90325,@princess_lindaT *laughs* I was pretending that the targets was maleficent's stupid bird,abusive,2,1,1
21,26681,53085,49147,49147,Please sign and share. Thank you Save the Ganges River Dolphin from Extinction https://t.co/Vv1m42AesO,normal,3,2,0
22,12490,66866,36611,36611,"@BBCWorld pictures are everywhere. It became the norm around there, just like waking up to a rainy day. She might have even given the orders",normal,5,2,0
23,40784,19466,69729,69729,RT @MakeABagENT: Hell to the fucking noooo https://t.co/yiVLPDj3d6,abusive,4,1,1
24,17151,51441,17455,17455,@Kia: @TheDaleJackson called for the U.S to kill everyone in Syria on his radio show today on @WVNN. Do you agree? #SyriaChemicalAttack,hateful,4,0,1
25,28595,83359,56240,56240,RT @13ReasonsTV: This fucked me up. https://t.co/a4MUKOb2S1,abusive,4,1,1
26,11453,56590,52471,52471,I'm trying to relax after a long day by looking through @ladbible memes and people keep messaging me. STOP DISTURBING ME &#128580;,hateful,2,0,1
27,13575,15938,14120,14120,Back to the Frozen North!! No Surprise it's snowing. Thanks @NBBQA #IAmBBQ2017 we made some amazing friends of BBQ!! https://t.co/F3Rn0EvL4d,normal,4,2,0
28,42729,5072,28177,28177,@blackburnbusco some idiot just spilt their drink on the number 6,abusive,4,1,1
29,22961,52028,67912,67912,"Berck sur Mer: Hundreds of thousands of tourists are admiring the giant kites, all shapes, sizes &amp; colours, (Kite festival until 9th April).",normal,5,2,1
30,49895,17741,50094,50094,RT @Supahot_Shopper: Cheating is fucking another nigga if that bitch ain't fucked another nigga on u She aint cheat &#129300;&#128530;...,hateful,3,0,1
31,37873,16674,32364,32364,RT @SteveStfler: Every fucking time https://t.co/Gejl3U8Cys,abusive,4,1,1
32,1798,46614,32755,32755,Here's a rundown of how my @datafoxco co-founder @bastiaanjanmaat led the process to codify our company values. https://t.co/KQEyFS5aPA,normal,3,2,0
33,36419,32246,46536,46536,They're all idiots dangerous idiots https://t.co/AxLv2JmN9N,hateful,3,0,1
34,10881,78729,76058,76058,"RT @avatarcmoney: If he started talking about fucking bitches &amp; making them a part o his collection, y'all wouldn't blink twice huh.",hateful,3,0,1
35,34781,44375,55058,55058,4 RETARDS PLAY DISC JAMN: https://t.co/iSBs3CwRq9 via @YouTube,normal,4,2,1
36,19516,71359,76672,76672,Me and my nigga dclarkbeentrill go stupid dumb crazy &#128293;&#128293;&#128293; nah fr tho!! https://t.co/IsW9PsAvvl,abusive,3,1,1
37,17566,17464,21528,21528,@sufirk @_sabanaqvi She can't answer ur these questions ...speaking lies is in vogue and she is not being held acco… https://t.co/xCYnor5n3j,normal,3,2,1
38,67,14473,7095,7095,RT @kittywrangler69: A FUCKING LOOK https://t.co/8lysd8yIqg,abusive,2,1,1
39,47986,52000,11992,11992,#AntiZumaMarches We are tired! Zuma must go. Imfuyo yakhe imlindile KZN. We need a leader not a puppet,hateful,3,0,0
40,41389,35961,52588,52588,"And imma make sure to sleep at 9pm on thursday so ion have to see her, and on the weekend im jusg gonna go study at the library",normal,5,2,1
41,47646,13360,11438,11438,Some of y'all lives don't even be bad..y'all jus either ungrateful or just don't know how to put things in perspective,hateful,2,0,0
42,13818,77726,4282,4282,There are few greater joys than being fully recognized by some... More for Pisces https://t.co/EDfDYLIztn,hateful,4,0,0
43,21997,81834,78232,78232,"Somehow Im now in charge of finding a movie for after prom, I know y'all don't want me to decide that so if you can I need movies up to PG13",normal,5,2,1
44,43168,67694,37050,37050,WARNING WEIRD SHIT! | @DubstepGutter | PINK GUY - RICE BALLS (Kotori Remix) https://t.co/twJTSmjTQH via @YouTube,normal,2,2,1
45,9908,69235,97131,97131,@Greninjamain14 @FS_DarkWizzy @oreopuppeh1 @DrChocchip @kogerooo Boy you two really don't get along lmao,normal,4,2,0
46,10995,6752,53176,53176,&#128680;When the same guy who wants to use ☢nuclear weapons bombs #Syria with no Congressional approval: It's now… https://t.co/K14MIqI0p0,normal,3,2,1
47,23278,73362,89961,89961,"Those who follow the mass mindset are akin to sardines. To become something stronger, you need to Adapt https://t.co/J1je8e73Rr",normal,3,2,0
48,3658,61419,35937,35937,@MrAb0veAverage @Ozziee19 @CBergs_ @FieryMotive You fucking hindus,hateful,5,0,1
49,46157,24510,2112,2112,Ayesem – Koti (Police) (Prod. By WillisBeatz)(Clean &amp; Raw) https://t.co/DyXylTvoai https://t.co/eJM3hZjtSV,normal,3,2,0
50,19529,1116,39001,39001,Come watch idiots play Forza Horizon 2 https://t.co/hYkheHUYXy,abusive,3,1,1
51,2272,13977,66325,66325,"@AbsoluteDanimal Yeah not great. The ref yesterday was pissing me off! Our end product is awful at the moment, too wasteful",hateful,2,0,1
52,9036,16050,74411,74411,@JolyonMaugham @MarkAsh46578148 The lies you peddle - presumably a desperate attempt to keep yourself in business -… https://t.co/0AooTIetDm,hateful,2,0,1
53,3969,74053,72653,72653,@papi__juan He said if I ever tried any nasty shit he'd dog me,abusive,4,1,1
54,15581,45521,58175,58175,RT @JournaIsDeluxe: cardi B ... is spitting fire ... cardi fucking B. https://t.co/WeOcy9vAM9,abusive,4,1,1
55,20919,27824,53908,53908,We've just seen someone use MERINGUE POWDER in a fucking baking video fucking POWDER America is irl blocked I stg,abusive,3,1,1
56,40460,25069,94017,94017,RT @Smook_Dawg: Them people who mad and act like they don't know why you cut the ass off ! &#128514;&#128514;&#128514;&#128514; https://t.co/EUaeuWCZHN,abusive,5,1,1
57,4034,6552,50966,50966,RT @existentialcoms: Metaphysics: what exists? Ethics: what should we do? Epistemology: how do we know? Existentialism: why even fucking ca…,abusive,5,1,1
58,22531,5598,76583,76583,RT @Iucysharding: aria sweetie I'm so sorry that a ugly ass bitch would even say that oh my god https://t.co/xEtF2iOFlv,hateful,3,0,1
59,18199,74688,56253,56253,Just posted a 2.00 mi run - Short midday walk/#running to keep moving. Still no wind past 2 miles. https://t.co/ldTwngU8wk #Runkeeper,normal,5,2,0
60,44230,60978,84313,84313,Swimsuit clad skiers parade down Sochi's slopes in world record attempt https://t.co/qCNRH1Jxi2 via YouTube,normal,3,2,0
61,36277,64526,82147,82147,RT @_EastsidePeezy: A bitch know she ugly if a nigga got a rubber on and he Still pull out &#128557;&#128557;,hateful,4,0,1
62,15383,72235,23566,23566,RT @Lilpumpjetskiii: THIS WHAT HAPPENS WHEN BITCH ASS NIGGAS HATE ON LIL PUMP https://t.co/6KpQV5unCx,hateful,3,0,1
63,15280,55239,79616,79616,RT @beautyfirst_1: I know you bitches hate my guts &#129335;&#127997;‍♀️,abusive,4,1,1
64,16105,12518,69178,69178,RT @Reuters: Islamic State says U.S. 'being run by an idiot' https://t.co/kABvGuhNon https://t.co/uzw81K0b38,hateful,3,0,1
65,31118,77387,19516,19516,"""Dogs do speak, but only to those who know how to listen."" - Orhan Pamuk #quote #lovepets #pawdentify",normal,4,2,0
66,36295,80138,83780,83780,"@OGMaco If the song wasn't titled a diss track, I wouldn't know it was because I can't understand a fucking word ur… https://t.co/GZkLzBUd7r",abusive,4,1,1
67,9345,36859,75036,75036,"RT @BryonaNicole: i used to hate this , crack used to always be all out . had to fix my pants every 3 mins , them damn drawstring pan…",abusive,3,1,1
68,22465,61205,65748,65748,@FAM_Spade_ These niggas mad annoying &amp; don't listen,hateful,2,0,1
69,40988,74728,49701,49701,RT @Kalynharlan: Girls that go out of their way to make another girl feel shitty deserve to be as miserable as they attempt to make others…,hateful,2,0,1
70,36501,14064,44795,44795,"RT @NawRob: Damn.. all my mama say is ""you not too sick to be on that damn phone"" https://t.co/mutiLIlvgB",abusive,3,1,1
71,51448,36905,77082,77082,RT @drimiaslm: BUT YOURE THE BLOODY ONE WHO'S GIVING THE COLD REPLIES YOU FUCKIN PRICK https://t.co/ynLMZTmozv,abusive,3,1,1
72,26198,64000,92725,92725,Tune in at 4PM ET for a panel conversation on progressive youth investment! Follow @YP4 on Facebook to get the live… https://t.co/wwg7PZgeaL,normal,3,2,0
73,10764,61622,40238,40238,Ed Milliband. Ex pm. Playing the twat for laughs on TV. Democracy is a shiny mobile above your baby cot.,hateful,3,0,1
74,42720,83685,99993,99993,@LGUSAMobile why does my phone screen keeps flickring i'm so mad that i had the phone for a year and it broke i'm so pissed and angry &#128545;&#128545;&#128545;&#128545;,normal,3,2,1
75,20627,47015,97977,97977,Philippine lawmaker pushes for Duterte impeachment over ‘defeatist’ China stance https://t.co/QaojklXO4A,normal,3,2,0
76,46524,63603,93682,93682,Do It Like It's Legal mens tees ..More designs available at https://t.co/aKOHA1FXRb #DoItLikeItsLegal https://t.co/VKN25dCbJV,normal,4,2,0
77,21354,60192,66744,66744,RT @KarenMKunkle: Idiot Of The Moment.&#128161; Dianne Feinstein for thinking vets are mentally ill. No fool you're mentally ill for speaking…,hateful,3,0,1
78,12247,12936,36430,36430,RT @Honchonothuncho: I hate niggas Bruh I swear I do &#128514;&#128514; https://t.co/mw7MgEdYne,hateful,4,0,1
