,Unnamed: 0,text_id,text,task_1,task_2,task_3,label
5165,5165,hasoc_en_5166,Are you fucking NUTS!!!!! #dickhead https://t.co/yhVD75MobL,HOF,PRFN,TIN,1
405,405,hasoc_en_406,@realDonaldTrump Resign now motherfucker! #IllegitimatePresident #DouchebagDonnie #shitgibbon #pedophile #rapist,HOF,PRFN,TIN,1
5496,5496,hasoc_en_5497,"BREAKING: Huge blast in Rawalpindi, Pakistan at the city's Military Hospital where Pakistan Army was protecting jihadi terrorist #MasoodAzhar as a patient. Azhar was involved in the #PulwamaAttack on India.",HOF,HATE,TIN,0
5781,5781,hasoc_en_5782,One by one accidents are happening but actions are limited in rule book only. Why rapists are not being hanged by judiciary? There is no fear in heart of #rapist. It's really a million dollar #question when the eye will open of law makers and judiciary too.,NOT,NONE,NONE,2
4268,4268,hasoc_en_4269,"@joncoopertweets My dog left something on the lawn he can have, but only if he picks it up. I wouldn’t piss on him if he were on fire, so I’m definitely not going to go to all the trouble of sending it. #fucktrump #JohnMcCainDayJune14",HOF,PRFN,TIN,1
4045,4045,hasoc_en_4046,@DonaldJTrumpJr This tweet coming from a criminal...irony at it's best.  #Fucktrump and his vile offspring.,HOF,OFFN,TIN,1
4180,4180,hasoc_en_4181,@joshscampbell He is the only person I’ve ever blocked. #Murderer 🖕OJ  🤓,HOF,PRFN,TIN,1
762,762,hasoc_en_763,Fresh Fact: The people who follow #ExCon #OJSimpson are the exact same people who think #HateHoaxCrime  #JussieSmollett and puddin-pop #Rapist #BillCosby are innocent. - So many lives have been hurt/destroyed by these men.,NOT,NONE,NONE,2
5582,5582,hasoc_en_5583,@realDonaldTrump @IngrahamAngle Inhraham is as stupid and partisan as they come.  She’s almost as repugnant as you.  Almost.  #fucktrump 🖕🏻🖕🏻,HOF,PRFN,TIN,1
4343,4343,hasoc_en_4344,As if telling #Trump this is illegal will deter him.    #TrumpIsADisgrace #TrumpLies #TrumpIsATraitor #PutinsPuppet #UnfitToBePresident    https://t.co/BLehKont33,HOF,HATE,TIN,0
2730,2730,hasoc_en_2731,@kaitlancollins Of course not!! #TrumpIsATraitor https://t.co/EFycXxONwh,HOF,HATE,TIN,0
3209,3209,hasoc_en_3210,"Mahendra Singh Dhoni's love for the Nation, Armed Forces and Soldiers has been intact which is truly commendable. He is Nation's Hero. No one represents our Country better than him. I stand with @msdhoni  #DhoniKeepsTheGlove #DhoniKeSaathDesh   #IndiaWithDhoni https://t.co/Bhcs6urzQ6",NOT,NONE,NONE,2
4750,4750,hasoc_en_4751,@artporns . @BryanCranston is just a tired Leftist made rich by exploiting violence and glamorizing misery (and smoking). #Douchebag,HOF,OFFN,TIN,1
5839,5839,hasoc_en_5840,@realDonaldTrump is Putin’s Puppet!   #TrumpsWorseThanNixon   #TrumpMustResign   #TrumpIsATraitor   #TrumpColludedWithRussia https://t.co/G6jtyzOICR,HOF,HATE,TIN,0
3095,3095,hasoc_en_3096,@JodiEngen @ScottNevins No big surprise! I wouldn’t expect anything less! #DICKHEAD!,NOT,NONE,NONE,2
1022,1022,hasoc_en_1023,"So basically @BorisJohnson does not tell the truth. Not only does he not tell the truth, he made promises that he came nowhere close to delivering and does not seem to care. What is his motivation? It is unlikely to be your welfare. #BorisJohnsonShouldNotBePM https://t.co/LLQyqRatVM",HOF,HATE,TIN,0
3067,3067,hasoc_en_3068,@annaturley @jessphillips He was clearly talking about the vending machine after he bought a packet of chipsticks. #C4Debate #whereswally #toryjackanorystory #BorisJohnsonShouldNotBePM,HOF,HATE,TIN,0
4947,4947,hasoc_en_4948,Boris trump   God help us #BorisJohnsonShouldNotBePM #johnsonisaclown https://t.co/fqhIfI7Oow,HOF,HATE,TIN,0
4641,4641,hasoc_en_4642,Layleen Polanco is the 10th trans woman found dead in U.S. this year #Resist #ResistTrump #FuckTrump https://t.co/8RrE6cZNkm,HOF,PRFN,TIN,1
4147,4147,hasoc_en_4148,".@senatemajldr @senategop @housegop @gopleader  Gosh, it's almost like you don't want the interference to stop but that couldn't be it could it? #GOPComplicitTraitors #GOPComplicit #TrumpIsATraitor https://t.co/q1gg8J3m7M",HOF,HATE,TIN,0
2595,2595,hasoc_en_2596,"@realDonaldTrump @StateDept @SecPompeo @realDonaldTrump @POTUS  #SaudiaArabi staged this act to blame #IRAN SO they could start a #STAGEDwar, TRUMP Gives Saudia Arabia secret technology/large $$$, after all his #PERSONAL RELATIONSHIP with them is better than his love for America.#My SonIsAMarine #Devildog #FuckTrump https://t.co/oPwsc4wqyC",NOT,NONE,NONE,2
3076,3076,hasoc_en_3077,@ICC way too bad event management and planning ! The cricket fans across the entire world waited for #ICCWorldCup2019 and 4 matches out of 19 matches so far have been washed out in rains.     #ShameOnICC  #RainStopsMatch #Cricket #CWC19 #CricketWorldCup2019 https://t.co/MEN3kMF34k,HOF,HATE,TIN,0
3460,3460,hasoc_en_3461,@wics_abc20 Screw 45 and bring back Joe Crain!!  #JohnMcCainDayJune14th   #TrumpisaTraitor https://t.co/6vdIZt2gGg,HOF,PRFN,TIN,1
4197,4197,hasoc_en_4198,Ground pe kya Kara rahe the @ICC @cricketworldcup @BCCI #DhoniKeepsTheGlove https://t.co/Yeghbmkx1g,HOF,HATE,TIN,0
2843,2843,hasoc_en_2844,Race of abusing PM NaMo will accelerate to appease muslims.Listen to Pathan pushing his party as only for muslims & owasis as new Jinnah.All are disturbe due to 3talak bill as it is not a sharia law.#GandiNaaliAbuse,HOF,HATE,TIN,0
2920,2920,hasoc_en_2921,children are dying in bihar but who cares Yoga and Mp dinner is Important,HOF,HATE,TIN,0
