,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,label,tweet,contain_bad
0,842,3,0,3,0,1,# anywere & # 8220 ; @ TheCooleyShow : LA = palm trees and great weather Any were else = horrible weather and no <SWEAR> & # 8221 ;,1
1,17156,3,0,3,0,1,RT @ OfficialA1King : The face you make when you see a <SWEAR> trying to preach on twitter http : //t.co/2T1UkUDQBw,1
2,24119,3,0,3,0,1,<SWEAR> get off my twitter <SWEAR> & # 128074 ;,1
3,10379,3,0,3,0,1,I can taste loud n <SWEAR> on my <SWEAR> & # 128541 ;,1
4,8958,3,0,0,3,2,Diabetes galore & # 128514 ; & # 128514 ; & # 128514 ; & # 128514 ; & # 128514 ; RT @ TIME : Colorado health officials recommend <SWEAR> brownie ban http : //t.co/Z59oy20TMp,1
5,4000,3,0,3,0,1,@ LaneBelgarde @ A7XDemery you <SWEAR> <SWEAR> didnt even invite me,1
6,19313,3,0,3,0,1,RT @ djMemphis10 : Never hurt your Girlfriend to make a <SWEAR> happy & # 128175 ; # djmemphis10,1
7,22552,3,0,0,3,2,This is why nothing gets done . <SWEAR> like Coburn trying 2 ad a <SWEAR> amendment 2 a public works bill . Push back on the # teabagger # morningjoe,1
8,19145,3,0,3,0,1,RT @ ccancel14 : Miserable <SWEAR> talk the most <SWEAR> & # 128514 ; & # 9996 ; & # 65039 ;,1
9,12309,3,0,3,0,1,Its gorg out ! RT @ @ anggxo : This <SWEAR> thinks its june or something @ BriiiXO http : //t.co/mFVCmym,1
10,12565,3,2,1,0,0,Know why the ultimate warrior <SWEAR> ? <SWEAR> LOVES <SWEAR> # toosoon ? He was an anti-gay crusader <SWEAR> a little light jokes are necessary,1
11,6103,3,1,2,0,1,@ eonline she looks like a real <SWEAR> now,1
12,9344,3,1,2,0,1,<SWEAR> me den <SWEAR>,1
13,23808,3,0,3,0,1,You got wild <SWEAR> tellin you liessss,1
14,6810,3,0,3,0,1,@ makenzies_mask ur a boss <SWEAR> <SWEAR>,1
15,11123,3,0,3,0,1,I really wan na have a talk about life with the `` <SWEAR> her right in the <SWEAR> '' dude while smokin a blunt before I <SWEAR>,1
16,20185,3,3,0,0,0,RT @ nick_pertile : Oh my goodness do I hate <SWEAR> people . <SWEAR> <SWEAR>,1
17,11619,3,0,2,1,1,I 'm not a <SWEAR> because I think two men and one woman together is a <SWEAR> and NOT a TRAIN . # getyamindright,1
18,19799,3,0,3,0,1,RT @ jogonzalez_23 : & # 8220 ; @ shinglewarf : # single http : //t.co/zLzg6sjBbh & # 8221 ; NOOO `` my nuts <SWEAR> '' & # 128514 ; & # 128553 ; & # 128553 ; & # 128553 ; & # 128553 ; & # 128553 ;,1
19,19706,3,0,3,0,1,RT @ itsDonLeach : You 're still a <SWEAR> @ BarackObama,1
20,22562,3,0,3,0,1,This ma <SWEAR> @ trigga_tre123 & # 128076 ;,1
21,22049,7,3,4,0,1,The movie # abouttime a hard <SWEAR> chick flick . This <SWEAR> goes back in time if he but too quick n <SWEAR> the <SWEAR> over n over lol,1
22,10660,6,0,6,0,1,I got some yard work i need done ... .you got me ? RT @ MidCityAce : Control your excitement sir ... & # 8220 ; @ 11wdNICK : Lets gooooo Teena <SWEAR> ! ! ! & # 8221 ;,1
23,21095,3,0,3,0,1,Seaside smell like stank <SWEAR> <SWEAR> bruh & # 128514 ; & # 128514 ;,1
24,13781,6,2,3,1,1,Not protected in the state of Utah . There is no <SWEAR> of <SWEAR> couples forcing <SWEAR> to marry them . They do not legally have to do <SWEAR> .,1
25,8119,3,0,3,0,1,Back in this <SWEAR> again ... .,1
26,7867,3,0,3,0,1,All y'all <SWEAR> corny lol,1
27,3613,3,0,0,3,2,@ Ish_MallyMal August is trash,0
