,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,count,hate_speech,offensive_language,neither,label,tweet,contain_bad
0,14622,23176,23660,3,2,1,0,0,Yo bitch ass needs to boss the fuck up.,1
1,16851,13660,13995,3,3,0,0,0,Only Americans would hire white trash with ties to international terrorism as police officers.,1
2,12570,11741,12040,3,0,3,0,1,Im never cuffin unless my bitch grown or act grown. I can't deal wit lil girls nbs,1
3,2961,2704,2768,3,2,1,0,0,@Buckm00se Joe Cortez is the ultimate faggot that fight proved it,1
4,4444,14909,15265,3,0,0,3,2,RT @Dalilaaaaaa__: Flappy birds cheat codes http://t.co/nu6GjYQDJJ,0
5,17418,2542,2598,6,0,6,0,1,@BallOut057 I'm otp bitch hold on,1
6,4744,2950,3022,4,0,4,0,1,@Dalton_ryann laying in bed bout to pass out 630 is gonna be a bitch,1
7,10965,4789,4929,3,2,1,0,0,@Stonisnipezz this is a joke right? You're on here like ugh I wish I was a jap and tweeting in gook and shit and jerkin to hentai.,1
8,17885,11529,11822,3,1,2,0,1,If a nigga is watching Love and HipHop instead of the playoffs he gay denna bitch,1
9,1014,18270,18676,3,0,2,1,1,RT @_Creamm_: @Victoria_Finae dont mind my retarded ass&#128514;,1
10,14343,4080,4202,3,0,3,0,1,@MethNotWeed bitch look homeless and u say meth not weed ur a fucking discrimination to American but enough of the bull shit what up fuk boy,1
11,19395,17695,18095,3,2,0,1,0,"RT @TheOnlyReed: IDC what phone u got, lol silly nigger",1
12,9985,7000,7196,3,0,2,1,1,@seansteiger31 bitch i taught you i know my mess ups,1
13,6350,9807,10074,3,3,0,0,0,Hey my folk. This nigger loving Jew boy @Deuterostomes asked if I was making death threats against his goat fucking people. Fuck him.,1
14,3472,19209,19637,3,0,3,0,1,"RT @iadorewomen_: A couple &#128107; is ""A couple"" &#128076; Not ""A couple &amp; one"" &#128107;&#128694; Not ""A couple &amp; some"" &#128107;&#128582;&#128581;&#128129; Not ""A couple &amp; plenty"" &#128107; &#128131;&#128131;&#128131;&#128131;&#128131; No hoes No &#8230;",1
15,16102,22159,22628,3,3,0,0,0,This white bitch had the fuckin nerve to call me a nigga&#128078; when shes the one payin for her lips to get bigga&#128514;&#128564;,1
16,16908,7460,7671,3,2,1,0,0,A nicca say he ballin ask em where his title n his deeds at not wher his clothes n his keys at,0
17,16322,20813,21264,3,0,3,0,1,Shoutout to this bitch for unfollowing me like I didn't noticed you like my pics just to unlike them&#8230; http://t.co/9xJTIMRCsG,1
18,6973,22616,23094,3,2,1,0,0,"What ppl expect, august aslina is a nig from New Orleans",1
19,5976,23191,23675,3,0,3,0,1,Yo fuck firestone for that commercial givin bitches ideas to run over guy's video games. I'd cut a bitch over that.,1
20,11315,15443,15806,6,0,0,6,2,RT @Harry_Styles: It was all yellow. http://t.co/xB4dkWuoKi,0
21,4097,16439,16814,3,2,1,0,0,RT @MichaelGT03: Happy birthday freshman faggots @cooopster98 @Chase123456718,1
22,7195,18273,18679,3,0,3,0,1,RT @_DJPHILIP: &#9995;&#128214;My mama told me if a bitch feet dirty her pussy dirty cause ya feet the first thing that hit the water when you bathe.,1
23,12795,8916,9163,3,0,0,3,2,Early bird gets the worm!,0
24,12823,14875,15231,3,0,3,0,1,RT @DJ_Leezy: @TheKaosYatti @JMuggaaa bitch ya mom take it in the ass for the light bill bitch &#128514;,1
25,18008,13135,13460,3,0,3,0,1,My pussy tastes like Pepsi Cola &#127926;&#128527;,1
26,2616,2947,3019,6,1,5,0,1,@Daa_Boy_Rell @sluttyboy_kush @keem_Escobar you. A bitch too,1
27,15915,9522,9782,3,0,3,0,1,Got a badass bitch just bouncin on my dick @JordyxRivera,1
28,14931,23070,23553,3,0,0,3,2,Ya'll take note. There ain't never tornadoes where colored folk live,1
29,3352,13504,13837,3,0,0,3,2,OH NO @morningmika are you saying the Democrats lost the #teabagger vote? LMAO bobble head #morningjoe,0
30,2789,17399,17795,3,0,0,3,2,"RT @SportsCenter: For the last time, The Captain takes the field at Yankee Stadium. http://t.co/c9TI4FkSkn",1
31,7202,18038,18442,3,2,1,0,0,RT @Wayne__Da__Boss: I hate a bitch dat act like a nigga. &#128530;,1
32,5784,6678,6864,3,0,0,3,2,@michelle_westt birds of a feather..,0
33,12123,21016,21467,3,0,0,3,2,Some Jihadi posted a bio of the #ISIS boss Mr Awad with excellent sociological info. Can't thank him/her enough for the gift.,0
34,10086,21917,22384,6,0,1,5,2,This Charlie Murder game is pretty dope #Xbla,1
35,14014,24191,24695,3,2,0,1,0,looking like a hillbilly and not matching is what I do best goodnight losers http://t.co/caGHBLKAXQ,1
36,8565,14542,14891,3,0,3,0,1,"RT @BullhammerPT: @HumbleTeej @TrillSmith @onthewrite Shut your bitch ass up. You got something to say about me, mention me. Peezy eyed bit&#8230;",1
37,14563,24464,24971,3,0,0,3,2,stance socks trash,0
38,4299,15645,16011,3,2,1,0,0,RT @ImaLAGirl: Pillow talking too yo hoe hating on a nigga fuck around loose ya hoe like that &#128175;,1
39,2582,18483,18892,3,2,1,0,0,"RT @_politeASSHOLE: 4) Only pussy niggas who suck dick cry about someone being in their mentions, tweet the person then cry again about the&#8230;",1
40,7178,19268,19697,6,1,5,0,1,"RT @ispeak_sarcasms: I hate girls that be like "" I can't talk to you you got too many hoes.."" Bitch where ya competitive spirit at??",1
41,8797,19697,20134,3,2,1,0,0,RT @mitchmancuso: @BrantPrintup:What straight guys take a picture of themselves naked in a hot tun.What fags @jakesiwy @Ryan_Murphy3 @Randy&#8230;,1
42,2809,15326,15688,3,0,1,2,2,"RT @Garvey_B: New sign up at mong kok protest site says: ""fight for democracy and oppose the communists to have a future"" http://t.co/w2pOn&#8230;",1
43,1319,6379,6562,3,0,0,3,2,@keishagreyxxx that's the beauty of them brownies I always daydream about what I'd do if I hit the powerball lol (nerdy but fun),0
44,6148,11666,11962,3,2,1,0,0,"If you say any of the following words the convo is over: nigger, nigga, swag, yolo, fag, retard.",1
45,7284,14224,14565,3,0,3,0,1,"RT @AshAmador: Started off with a OZ
End up riding fo' deep
Pull up to that club like muthaufckin ho you don't know me&#127926;",1
46,4957,15272,15632,3,2,0,1,0,RT @FunSizedYogi: @TheBlackVoice well how else will white ppl get us to forget our horrific past other than to paint a pretty picture of ho&#8230;,1
47,5051,1432,1462,3,0,3,0,1,"&#8220;@Nadixo__: ""@joelxmontoya: I'm dreaming &#128525;&#128525; http://t.co/Y21PyZ5rai"" ewwww&#8221;bitch you must be fucked up &#128514;&#128514;",1
48,5687,23367,23853,3,2,1,0,0,You like them bitch niggas.,1
49,8640,14977,15333,3,0,0,3,2,RT @DepressedDarth: Star Wars meets Charlie Brown http://t.co/m9uNRz6SYR,0
50,15261,21146,21602,3,0,0,3,2,Stayin up late to watch #Ichiro #Yankees,1
51,4042,21113,21566,3,1,2,0,1,Sound like a REAL NIGGA TO ME &#8220;@SankPankSimona: Keith stood under the monkey bats looking up girls skirts during recess time. Fucking creep&#8221;,1
52,14158,15828,16197,3,0,3,0,1,"RT @JoeBudden: If u can&#8217;t deal w what we go thru&#8230;. Then I got bitches lined up, I got an ego too.",1
53,18526,228,230,3,0,3,0,1,"""@SamJLayman : Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory""
Me: *rolls on the floor, laughing*",1
54,5389,2879,2949,3,0,3,0,1,@Coley_Cee bitch stop takin my shit ooo I hate u u dumb bitch,1
55,17838,8949,9196,3,0,0,3,2,Enjoying My bed. Just perfect For me My Teddy bear and monkey It. #Singlelife #bed #teddybear,0
56,19463,22562,23038,3,0,0,3,2,Well good morning early birds.. t minus 47 mins until thee clock out. Then breakfast shower rub one and sleep!,0
57,9515,13754,14090,3,0,0,3,2,Panda Express is so trash but I wanted Chinese and didn't feel like gettin out the car,1
58,12514,15137,15495,3,2,1,0,0,"RT @ExquiZiteBeauty: &#128584;&#128584;&#128584; RT @iDocLyfe: Gave her that ""move it lil nigger"" push smh.. http://t.co/eYbWLVukim",1
59,2700,20489,20935,6,1,5,0,1,Real niggas speaking bitch u better listen....,1
60,3685,3369,3456,3,2,1,0,0,@Herfarm @SteveWorks4You @TheDemocrats your low info redneck dumbasses vote for these corporate shills that idiots like you believe #dummies,1
61,6105,4166,4288,3,0,0,3,2,"@Morning_Joe If NBC has elected you to be a spokesman for NBC they are in a lot of trouble. I and friends will no longer watch NBC trash

1",0
62,4854,13797,14133,3,1,0,2,2,People who chose the country over the City are miserable trash. They deserve neither respect nor consideration. They are less than scum.,1
63,15949,7251,7458,3,0,3,0,1,@vbyrd_32 dam this hoes should be working at Microsoft,1
64,19488,23098,23582,3,0,0,3,2,Yankees great Joe DiMaggio reportedly used to beat wife Marilyn Monroe. Here she is in 1954 announcing divorce http://t.co/blS7dalMiF,1
65,10828,4237,4362,3,0,3,0,1,"@NY_NastyBaby you a lil bitch man,keep my name out to mouth. That's all ima say. #shhh",1
