,Unnamed: 0,Unnamed: 0.1,text,label
1433,1106,561,@Sundownsolution @SteinbachErika Dem Kommentar entnehme ich das auch ihre Schaukel als Kind zu nahe an der Wand gestanden hat.,1
386,2634,3810,@Beatrix_vStorch Wieviele von ihnen sind schon verheiratet...?,2
2056,4031,3070,@EQTcafe @Ralf_Stegner Hier haben einige Politiker richtige abgesahnt.... |LBR| Und der Oberguru Maschmayer macht jetzt einen auf Fernsehstar...und produziert seiner alten b-Movies |LBR| 😃😃,1
2846,3199,1824,@anna_IIna Weil die dummen deutschen Grünen und FDP gewählt haben...deswegen werden sich diese Zustände nicht ändern....ganz im Gegenteil...,0
1351,2646,2007,Deutschland spart sich tot. Damit wir den #Invasoren jeden Wunsch erfüllen können.,0
2197,558,359,"@HolgerEwald1 @jouwatch Ihr diskutiert allen ernstes über eine völlig schwachsinnige, noch dazu ausgezeichnete Rede einer vielleicht schon nicht mehr im Land befindlichen Psychopathin, habt ihr nichts besseres zu tun ⁉️",1
3383,4828,159,"@Werwald Was hast du gegen Asiaten, du Halbnigger?!",0
1810,276,2456,"@Fraulein_Antje @BlondJedi Wer den spektakulär dummen Böhmermann für voll nimmt, der soll das doch tun ! Ich habe noch Hoffnung für Deutschland, da kann so ein dummer Bengel nichts dran ändern nur weil er zu beschränkt im Schädel ist !",1
2214,1783,4573,@mdrkultur MDR =Aktuelle Kamera. SED treu. Wir hätten die Mauer auf West Seite 10Meter höher bauen sollen.,0
3154,185,2219,300 bekloppte Bahnhofs klatschen bilden Lichterkette in Altena. Wo waren oder sind diese Gehirn Prothesen wenn Deutsche in Berlin oder sonst wo ermordet werden? Wenn schon kein Gehirn dann wenigstens Lichterkette.,1
2529,3575,944,@ER_Bayern Wir können die Frage spontan nicht beantworten. Die Kirche macht sich für Nächstenliebe stark - und die kennt keine Nationalität.,2
741,4918,1679,"Jetzt hört auf mit Euren Sanktionen. Sie bringen nichts und |LBR| schädigen, ja -schädigen- die eigene Wirtschaft, Ihr Nulltipper.",1
3286,2936,4410,"Lieber @MartinSchulz, liebe @spdde, fast ein Vierteljahr nach der Bundestagswahl erwarten die Menschen zu Recht, dass Ihr nicht ergebnisoffen mit #Merkel dahin verhandelt, sondern eine gerechte Politik in der neuen #Bundesregierung durchsetzt. Glück auf!",2
626,3360,1746,"@pournette Sie scheinen sich nicht so gut zu informieren. Plenarwoche im Bundestag und die @fdpbt bringt eigene Anträge ein, u.a. zu Familiennachzug, Digitalisierung in der Landwirtschaft und Senkung des Beitragssatzes in den Arbeitslosenversicherung. TL",2
2179,4182,746,@SteinbachErika Diese Jugendlichen sind die Politiker der islamischen Parteien von morgen. |LBR| Das Gedankengut wurd seine Früchte tragen. |LBR| Steht auf Leute!!!,0
2770,656,3598,"@FOJ45360104 @DuHugonotte @faznet In der Bibel steht geschrieben,die Welt wird untergehen wenn es zuviele Propheten gibt , wir sind nicht weit weg davon!",2
2498,1688,896,Politiker von CDU CSU SPD sind eine große Gefahr für unser Land sie Posaunen in die Welt das DE 220.000 Invasoren aufnimmt + Familiennachzug,0
1162,4111,4253,@MonikaBergholz1 Nur wenn Du möchtest natürlich:),2
3141,939,1971,"@Varg_I_Veum @DuHugonotte Wo sie recht haben ,haben sie recht.Der Schnitt ist Nano-Technologie.Ein wehleidiger Dorfbürgermeister der zudem noch Chef der Wasserwerke ist , die einem deutschen Bürger das Wasser abdreht,während die Asylanten keine Rechnung bezahlen !Ungerechtigkeit über alles!!!!!!!!!!!!!!!",0
107,3633,4283,"Kompliment den Niederlanden. Die verzichten auf Flugzeuglandungen in der |LBR| Türkei, diese Nazis. Haha. Auch ich bin für Meidung der Türkei.",1
3635,292,1754,"Tunesien schließt 80 Moscheen im Lande, weil der Terror mit dem Islam nichts zu tun hat!",2
495,642,4842,"Die Immigranten wandern in die Sozialsystem ein zu Lasten der |LBR| Österreicher. Abschieben, abschieben, abschieben. Nur das hilft.",0
445,1321,2848,"@klausMohr1 ""Alle Staatsgewalt geht vom Volk aus"" und das muss auch für bundesweite Abstimmungen in einem Gesetz festgeschrieben werden!",2
730,122,1799,"@SJW_MadBunny Die Grünen sind einfach realitaetsfern. ""Minderjährige Flüchtlinge""  terrorisieren bundesweit Klassen, Lehrer, Behörden und Mädchen. DIE sind dann traumatisiert.  Aber nur Deutsche...",0
4406,4530,50,Zur Eröffnung der #Israelpedia sind unsere Gedanken bei den Menschen in Israel |LBR| #DIG #Frankfurt #Israel,2
4362,3031,2629,"Reagan sah einst ""The day after"", schiss sich in d. Hose u. beendete Provokationen ( die u.a. zum Abschuss d. korean. PassagierJets führten)",1
