,Unnamed: 0,Unnamed: 0.1,text_id,text,task_1,task_2,label
1645,2530,2530,hasoc_de_2531,Die Denunziations-Initiative „Reconquista Internet“ inklusive der Hetze gegen die Familie der ermordeten Susanna wird belohnt.  #grimmepreis     https://t.co/8yrHVXc7DO,HOF,HATE,0
3051,1996,1996,hasoc_de_1997,FU** the #Islam !! https://t.co/jsbcOWLO8T,HOF,HATE,0
1056,1729,1729,hasoc_de_1730,da kann man gut lachen wenn man sich schön die Taschen füllen kann und  auf seine Themen Scheisst 💩💩  selber fressen macht dick!!+was interessieren mich andere+ https://t.co/VnuQyoOOOV,HOF,PRFN,1
1769,1891,1891,hasoc_de_1892,"@ostmann1977 @LVZ @daniel_bruhl @ElleVisionnaire @brigittebrochet @boxingondvd @danielkehlmann Und 'Fremdenhass', der #AfD u. Anhängern unterstellt wird, ist kein Hass, sondern Angst vor 'Flüchtlingen', die angeblich Schutz in Deutschland suchen und kaum hier, uns Schutz und Sicherheit nehmen. Kein Hass, sondern Selbsterhaltungs- und Überlebenswille.   @Einzelfallinfos",HOF,OFFN,1
1522,3739,3739,hasoc_de_3740,@Ungebeten1 Deren wohl gewählte Ausdrucksweise  liegt wohl an den Ziegen Genen 🐐🚶🏾‍♂️,HOF,HATE,0
2888,2128,2128,hasoc_de_2129,SCHARIA-EHE und deutscher Pass? KEIN PROBLEM! https://t.co/toVvPS6YUj https://t.co/ZZ5lypQKR2,NOT,NONE,2
1671,1099,1099,hasoc_de_1100,'Emotionaler Wortbeitrag'.  Genosse @MartinSchulz brüllt auf Parteifreund ein: 'Du bist ein Arschloch!'  https://t.co/5qIzxGdTA5 #spd,HOF,OFFN,1
1735,2302,2302,hasoc_de_2303,"MMNews: Weidel bekräftigt Kritik an Klimawandel-Theorie: AfD-Fraktionschefin Alice Weidel hat ihre Zweifel am menschengemachten Klimawandel bekräftigt. 'Ich streite nicht ab, dass sich die Erde erwärmt, aber ich glaube nicht, dass der menschliche… https://t.co/S3MtyBLBXt",NOT,NONE,2
1085,1080,1080,hasoc_de_1081,"Bei Ausschreitungen der Klima-Spinner in #Wien geht die #Polizei robust gegen 'deutschen Berufsdemonstranten' vor: Kopf unter den Polizeiwagen und kurz anfahren, erschrecken den #Greta-Jünger heftig!  https://t.co/8PBIw77n4P https://t.co/jb0h3Og93i",HOF,OFFN,1
405,2423,2423,hasoc_de_2424,"Das Zerreißen des Korans in Bremen war dem @ZDF einen 6-Minuten-Beitrag im Heute-Journal wert. Die 9-Jährige, die in #Dessau von einem 'Flüchtling' aus dem Niger vergewaltigt wurde, kam nirgendwo vor.",HOF,HATE,0
