,Unnamed: 0,Unnamed: 0.1,text,label
3636,3967,3967,مين انت يعني حتى عم تهدد انقبر احترم حالك يا نكرة,1
2873,5031,5031,اذا كانت الجرعة الزائدة اعطيت له بهدف انه لا يتعذب تحت المنشار  يجب ان يعطوهم جائزة نوبل للقتل الرحيم والله اعلم يا طشم,1
4430,983,983,يلعن الأسد 💚,1
3637,405,405,مشكله يوم يتكلم العرص عن الرجوله ,1
2490,4252,4252,اخرس ولا حقير لما وقف وليد جنبلاط ضد النظام السوري عام 2005 كنت حضرتك كلب عند بشار الأسد فسد بوزك ولا تتذاكى,1
1963,3679,3679,ما تفتحي تويتر   ,2
35,1129,1129,الذين يتبجحون ويدفاع عن حق اسرائيل في حماية حدودها ما عليكم إلا ان تأخذ موقف ان فلسطين هي من البحر الى النهر وان…,2
293,2095,2095,خليه عم ينبح الرئيس سعد الحريري مطنشو ,1
1307,322,322,انت بوق ايراني مجوسي رخيص سعرك كلفول السوداني,0
1258,527,527,الاخبار من سوريا غارات اسرئيلية وانفجارات في اللاذقية واشتباكات مسلحة بين جناحي النظام في حماة وانسحاب أمريكي بذات…,2
2128,1776,1776,كركوز ,1
1487,4850,4850,عاهرات االله يخلصنا منهن يا رب ,1
3564,845,845,يعني أنا كل ما شوف زياد أسود بيحلى بعيني جبران باسيل ما عم بفهم ليش منن أصحاب,2
2139,4998,4998,اه يا فاشل افتخر ولا يهمك لأنك انسان انتهازي حقير  تابع للسفاحين والموالين  والسفلة ولولا تكن تشبههم لما افتخرت بهم مبروكين عليك لأنه وعلى قول المثل اللي متلك روح لعندو ,1
3150,5348,5348,فرجنا عضلات لسانه ,2
1142,5639,5639,عم بيهاجمو جبران باسيل حقنا نرد ونقللن انو اعلامكم مرتهن وفاجر,1
2426,1510,1510,صدقتي ديما لكن للاسف اللبنانيين من اكثر تخلفا وعنصريه,0
1245,4684,4684,لو في دوله على قولتك كان لازم انت يا حيوان بالحبس وعم تتدعوس كل يوم بالصرامي يلعن ابو لي خلفك   ,1
4185,5556,5556,صفتو بمسح صرامي ع باب المطار ,1
946,2029,2029,يجب التحرك عل فوركفى تعدي على حقوق الناس شبعنا ,2
3124,1642,1642,يمكن بهالتغريدة عم تحاولي تنسي الناس هبلك وتفاهتك بمقابلة جو معلوف بس بفتكر مش ظابطة عريتي نفسك امرأة سطحية تافهة,1
4450,4255,4255,عدم المؤاخذة ايمت اخر مرة صار عندك,2
1460,4638,4638,رح تضلك تعووي نبح لتشبع رص تضل تحت صرماية الشيخ سعد الحريري حثالة متلك لازم تندعس لكنك كل ,1
3583,1960,1960,والله ثم والله لايوجد لدبي مثيل في العالم الله يحفظ بوراشد ويديم عزه آمين ,2
3487,2293,2293,ولعها ولع ولع وأعطيني شحطة العقاب لوهاب وهاب قاتل ابو دياب ,2
2263,5214,5214,آخر فضيحة,2
2105,1890,1890,صحيفة الاخبار يا خرى هيدي تابعة للخنازير اتباع نظام بشار بدك ناخد بي كلامهم وشو بيكتبوا روح اعمل رجال و… ,0
914,1086,1086,اهااا فهمت عليك فرقت معك عل حرف واحد بين سوي و سوري قول هيدا حلمك انت و كتار متلك بس ما فشرت انت و يللي اكبر منك عماد اللو… ,1
1246,5658,5658,كول هوا,1
2357,1767,1767,لك كراي عليهن العفو منك من هون لعندن,1
3109,2096,2096,ويبقى جبران باسيل كابوس السياسيين والإعلاميين,2
3907,2446,2446,شو هالثقة بالنفس ,2
2,2318,2318,عثمان من أنصاف الرجال ,1
3100,3607,3607,كان لازم ينتظر جبران باسيل ياخده معه يساهم بأعادة اعمار سوريا,2
3579,3909,3909,ياجماعة جنبولاد دخلتو عتبة العار والعيب استحو عاحالكم بقا حاج مسترخصين الدم النقي الي نزل من الشهيد,2
3846,2606,2606,كل العرب يتقنون التخريب العرب جرب ,0
3672,3025,3025,شاوري معلمك طنبر الجاهلية بالأول قبل ما تغيرييها بلكي ألو رأي تاني أو مثل عادته بيستعين بصديق حبيت ,1
516,5262,5262,كلاب حركة أمل فلتانين ع السوريين,0
4344,3609,3609,ولك خرااااس العمى بقلبك شو كتتتتير حكي ومبعبع عالفاضي كلك وطخنك معبى هوا العمى بقلبك ما أتقل دمك العقاب لوهاب ,1
3867,3657,3657,جبران باسيل معك     ,2
4054,5296,5296,اول حرف من اسمو جبران جرجي باسيل,2
763,4885,4885,مستواكم معروف اوطى من الصرامي لانكم  بلا شرف وادبكم الشتيمة,1
3031,383,383,أقترح عليك ان تسدو لبوزك ,1
2845,3045,3045,لعله يكون المدماك الاول لإلغاء المحاصصة الطائفية في الدولة ,2
3781,5829,5829,تسلم عبد الله بس يصير عندي فائض معجبات بحوّللك,2
1605,1432,1432,الحين تترحم على وسام ونت لم تترك تهمه ولاشتيمه لا وقلتها عليه صحيح انك عفن ,1
1076,1448,1448,لأنه كلاب عالم متل طارق خوري وغيره,1
2371,695,695,مهم انت تقول مين نسمي أهم شي و وين بحب قلك وجودك متل قلتك احترم حالك كرمال ما تضحك عليك الشعب ,1
1146,2436,2436,طيب خلي إيران تحط ودائع وتربح خيو العما شو إنك تافه     ,1
2347,4020,4020,بصراحه انا ارى ان مقابله جبران باسيل معتدله واصر على ان اسرائيل معتديه,2
4654,2051,2051,عوّي بعد عوّي ,1
1510,1230,1230,في مثل هذا اليوم وُلِد بغل الوطن منحبك القيادة الحكيمة,1
2390,5316,5316,اما انت كا زعيم بي قرية زغرتا بس يسير بدك تتمسك تمسك بي رصن الجحش يا جحش,1
2571,1935,1935,يا جماعة انا كمان بشوف عبارة يلعن روحك يا حافظ مبتذلة ومسفة وتظهر عجز المعارضة المتأسلمة وارتهانها للماضي وأفضل استبدالها بعبارة خراي في قبرك يا حافظ,1
3518,4917,4917,ياريت كنا قطريين ,2
2657,1847,1847,على الجرح جبتلن هيي ,2
599,3813,3813,ريتها سليلتك يلي طالع منها جحش متلك تروح روحة بلا رجعة الله يرمل حريمك يا ابن الكلب واحد جحش ابن جحش و جحشة روح انقبر,1
3051,1171,1171,عن اي دولة يا قائد و القضاء فيها تابع لرجال السياسة ,2
4267,213,213,شي بيهوي,1
3248,3767,3767,على اساس معاليك الدول العربية الأخرى امثال سوريا السعودية وغيرها يتقنون فن الاعمار ,2
1373,5405,5405,لو بتخرس ولا احلالك انقلع شقفة مجنس لاجئ عندنا,0
953,2656,2656,كيف يعني حرم الرئيس الحريري للعلم القيادات الكبرى غابت عن هيدا المؤتمر بما فيهن الحريري و تمثلوا بوفود,2
4407,4311,4311,شو هم الكبار من حكي الصغار الوزير الملك جبران باسيل أنت كبير وبتضلك كبير لأنك إنسان شهم ومتواضع,2
2559,48,48,عقبال يغرقوا التنين بالمجارير,1
3750,5743,5743,هيدا صحافي مأجور صرلو سنه هيك بس هلأ طلعت ريحتو,1
2870,5452,5452,هه والشام مو عرب ياغبي صراحه مررره ذكي كيف تتكلم العربيه وتقولي مو عربي غبى بجد,1
2826,5634,5634,فعلا نطقك وشكلك مقزز جدا ,1
329,4633,4633,كل من سرق خيرات هذا البلد واخص بالذكر فريق الشهر المفسدين الفاسدين سيرحلون وسيحاكمون ,2
1551,602,602,يا اخي نقطنا بسكوتك جسمك اخد على البهدله ما بقى تفرق معك ,1
4445,4918,4918,طيب كلي هوا وخليكي بزباله لبنان,1
3335,4258,4258,وليد جنبلاط علي العربيه من حواره اثبت انه كلب السياسه العربيه والشخصيه المراوغه الاولي,1
1125,1087,1087,كيف يعني حرم الرئيس الحريري؟ للعلم القيادات الكبرى غابت عن هيدا المؤتمر بما فيهن الحريري و تمثلوا…,2
2210,3210,3210,والله أنت شخص أناني لا يمث بصلة لأبناء لبنان الكرماء كم أعطوك أل سعود لتغرذ بهذه التغريذة ,2
702,577,577,بدك شي شاكوش يضرب راسك ليفتح مخك السيد مش لاكشك باجرو,1
3950,3021,3021,ههههههه خراس البرازيل مهاراتهم اخسن من لاعبين الفريق اللي يلبس مخطط,1
1474,1334,1334,لما بيكون فيه شعب سخيف متلك بيهوج بنفس وقت هجوم الإمبريالية فلازم يندعسو مع بعض أنت سخيفة لدرجة التفاهة,0
1757,139,139,ستموت بحسرة الخواجه ولن يعطيك شرف التحدث معه وابتزازه ايها الازعر السفيه ضبضب ,1
895,1662,1662,معناها حقو الشحاذ يعيط عليكي هههه,2
4090,1229,1229,انت عنجد مريض نفسيا لك قعود ساكت شوي العقاب لوهاب وهاب قاتل ابو دياب ,1
3176,1132,1132,لما يطلع زعيم عربي مسيحي اللي هوي جبران باسيل و يحكي عن تعدي اسرائيل على لبنان على…,2
1929,4606,4606,عزيزي جبران باسيل ع تويتر معش تغرد معش تغرد ع تويتر هكرولو حسابه طعمرك,1
2091,2417,2417,سوريا بحاجة لك فلتذهب اليها وان واي تيكيت ,2
4642,5119,5119,نحن اللبنانين ما بدنا يسلمو سلاح للدولة لان شايفين كتير منيح الدولة شو عم تعمل بالشعب روح كول هوا و نام احسن,1
4673,5487,5487,وفِي طبقة مستقلة هي البغال البشرية مثلا الأخ صاحب التغريدة أدناه,1
231,79,79,ولك استحي بقى ما في عا لسانك الا سوريا ,1
1345,3247,3247,ما تكون مفكر حالك مهضوم   خليك بل الباصات وخبرياتك البايخة   انا أكيد عندك حقد ع الشيخ سعد أكتر من حقدك على العدو الصهيوني,2
145,800,800,هذه هي أخلاق الكيني الحقيقي,2
3047,3116,3116,قللو يا حمار انا أصلا ما بتفرج ع يا حمار معبى ببنطلون,1
1832,2313,2313,لبنان يحتظر عنوان المقالة,2
2981,531,531,ممكن تفرشي سنانك قبل كل تويت بليز في ريحة خرى قوية,1
2917,39,39,كول هوا يا خنزير الخنازير الصهاينة نهايتهم للدعس تفه,1
1784,451,451,حركة امل مستاءة جداً من حزب الله لانه يقدم دعم وتغطية كاملة ل جبران باسيل والتيار بكل الملفات,2
128,4588,4588,منظر هيدي الهبلة تبع التيار سينتيا يمين من بعد الخازوق من الشب الاشتراكي بيسوا الكرة الأرضية,1
4459,5508,5508,أصلاً الكرسي الألماني تبادل ثقافي,2
2151,4879,4879,حيضل سعد الحريري داعسك ,1
416,3221,3221,كول هوا ولاك درزي الكلب,0
3020,592,592,والله بكون كتر خيره   ,2
3390,3612,3612,من راقب الناس مات هما قررررررر ربت يا وءام ,2
2840,288,288,شفيك يادكتور ولا غير متابع هذا ذنب ايران المجوسيه المعديه المتخلفه مالقيت تمدح ألا هذا الشخص للتذكير وئ… ,0
2985,4299,4299,من لأخر شو بدك يا سعدانة مقهورة انو نحن الشيعة موحدين وايد وحدة وانتو مقسومين وفايتين ببعضكن وبتكرهو بعض وبتحكوا وبتغدرو بعضكن  يلا خليكن مقسومين انتو المسيحيين وانشغلو ببعضكن,1
2249,5523,5523,طز ب فرنسا اوفكورس,0
4405,3239,3239,على فكرة رجلي بالدكتاتور اردوغان سبتويت,1
2310,1589,1589,يا مشحرة شو منوب انتي كيف بتضهري لبرا ولك فوتي عن البرندا احسن ما يراشقوكي تعون السترات الصفر بالبيض,1
836,3540,3540,خيي هلق قطر ناطرة الفوايد انا مشكلتي انو هوي عم يهاجم قطر و يدافع عن الباقيين مع انو كلن ك ,2
3451,5640,5640,المباراة حاليا متل فصيل مسلح جربان ضد جيش جربان,2
3224,3912,3912,الدكتور فياض تغريداته أصبحت تُشبه تغريدات أدرعي عن الوزير جبران باسيل بمعنى الحكي السخيف الذي لا يستند إلى المنط,2
3728,3061,3061,عقابك قريب ,2
4186,1977,1977,مهما فعلت قطر لا يساوي شيىء أمام ما فعلته السعودية الارهابية ,0
4215,4109,4109,لا شمعون ولا بشير جبران باسيل هو جبران باسيل,2
2345,2847,2847,عنجد اول شي بدي هني اذاعه الجديد لانها اول شي بتهتم بالزعران وبتسوق اخبارهم لك مين هيدا  ,2
209,233,233,كول هوا انت ودانيال,1
4648,4676,4676,مطلع القصيده الشطر الاول وحده يساوي مليون قصيده من الشعر الحالي   ,2
4242,5492,5492,اسرائيل ترد على جبران باسيل حديثه لل سي ان ان عن حق اسرائيل هو كلام من باب تمسيح الجوخ وتبيض الطناجر ليصل الى رئاسة الجمهورية,2
168,4742,4742,هذا واحد عميل كلب قاتل رشيد كرامي,1
821,106,106,ال ً مبلشين من الليلة بالحملة ع جبران باسيل ب منا وجر,2
