,Unnamed: 0,Unnamed: 0.1,text,label
2145,4995,4995,السيد والرئيس وليش عم تشددددد دخلك كل حجمك أرنب عند معلمك بالقرداحة,1
4621,3363,3363,ولو نسيت على المنار شكراً قطر وينك يا شيخ حمد ,2
2656,5128,5128,ارمني يوناني يحمل جنسية المانية من مواليد سوريا يعني ابوه كان لاجئ كلب ابن شحاطة بسوريا كاتب على واجهة شركته الخاصة يجب ان ترحل ميركل لك ياحيف على الفول والحمص اللي اكلته بببلدنا يا ابن الصرماية,0
3597,5559,5559,اجواء اوروبيه بواقع صومالي زنجي حقير,0
3348,3781,3781,وشو فهمك انت يا غبي روح انضب ولك يا واطي واحد حقير ومنحط,1
3893,4486,4486,اه يا هبيلة هيدا شربان بول بعير قبل ما يغرد,1
2496,5475,5475,باسيل من بيت الوسط يتم البحث بأفكار عدة لتشكيل الحكومة,2
1746,1056,1056,لو في دولة ما كان حدا فيكون من كل الطبقة السياسية الحاكمة الجربانة كنتو كلكم عّم تتعشوا حلاوة وسكر بالحبس ,0
2852,4643,4643,وئام وهاب بتعطي قطر كم دولار بغير رأيه وئام دولار ,2
3514,819,819,لك وهاب حبيبي في دكتور شاطر اذا بتحب ببعتلك العنوان ، بعالجك والله ، انا بس كرمال ما تبليش تلبوس سوبر مان وتكسر ش… ,2
2234,1259,1259,وبلدك سوريا لا تبغي سوا القتل والاجرام ,0
616,3114,3114,زعران تيار المستهبل يطلقون النار احتفالا بخيبتهم وفسادهم,0
3309,4035,4035,هودي بهائم المردة لشو الرد عليهم  اذا سليمان فرنجية عدن وطلعوا معو الف كلب وجحش وحمار  ويمكن خنازير,0
2938,1320,1320,يلعن هل الشعب شو اهبل,0
531,538,538,على من تقرأ مزاميرك يا داوود؟ وليد جان بولاد أصلو تركماني لا يمكن أن تترجى أو تتمنى عليه فهو مجرم موص… ,0
3808,4085,4085,العوني اذا تمدن متل الجحش اذا تكدن بعمرك شفت عوني بيفهم,0
2909,2307,2307,دعوة الشيخ على القمه عملتلو لجنبلاط هزه براسو وهلق بدو ياخد ثئارو بالحكومه بدو يعقدها حتى ينتقم هيدا اول درس له ,2
2054,684,684,هيدا السيد يلي عم تحكي عنو غبرة صرمايتو بتشرف الأندال يلي مثلكم ,1
3788,4103,4103,هههههاي والله مابومات الا البنات الي دوم دايم وهن هبلات,0
911,765,765,شعوب مرتزقة، أين ما يحل المال تركضون وراءه ولو على حساب شرفكم ,0
1465,5240,5240,سحسوح ع رقبتك انتي ومعلمينك أوباش,1
2840,288,288,شفيك يادكتور ولا غير متابع هذا ذنب ايران المجوسيه المعديه المتخلفه مالقيت تمدح ألا هذا الشخص للتذكير وئ… ,0
4051,1014,1014,هي انت عم تشغل مرتك بدعاره وعم تحطها وديعه لقيس الغزعلي الصور رح نرفقها لقيس مع مرتك يا وئام وهاب الديوث ,0
4158,5022,5022,بن جدو الكلب شو بده يطلع منه,1
592,4712,4712,يا علاء انت حمار ولا بتستحمر,1
3032,852,852,اول واحد لازم يدخل السجن هو انت ايها المفتن ,1
4230,4739,4739,عداوة كار ,2
4017,1999,1999,كل واحد فاتح عحسابو انت ما بيعجبك فلان و هداك ما بيعجبوا فلان بلد كل من مين ايدو الو ,2
300,2857,2857,ما لقيت ولا تعليق بقول انك سوي والي مش سوي عندك هو عند كل العالم سوي يعني انت الأهبل ولا واحد علق بصفك  ,1
308,5106,5106,هدول مستعدين يقتلوا الناس هيك شروي غروي لازم نقتلون كلن,0
966,1557,1557,ماهذة الصفاقه والنتانه ياأنسة,1
3074,631,631,هيدا اسلوبهم بالحوار متل معلمهم معودين عحوار الصرامي ,0
3096,1861,1861,هذا شيخ البلاط الجنبلاطي يسخّر ضميره ويكذب على ديننا ويقوم بالتغطيه على زنديق ناكث لديننا ، كفى قلب… ,1
3721,4618,4618,راجع حساباتك دكتور علي مع هذا المنافق؟ ,2
986,443,443,معالي الوزير خليك بالجاهلية وخازوق الجاهلية وشو بدك بقطر ,0
2730,2944,2944,طيييط عليك وعلى وهاب يعلن اللي عطاكم الشهادة انتو الاتنين اجحش من بعض ,0
3025,4217,4217,دويلة قطر هي راس الأفعى وأم الارهاب وراعية الخراب في الدول العربية والممول الرئيسي لعمليات الارهاب ,0
4633,2953,2953,هل هي فعلا مراكز أبحاث,2
4229,1107,1107,أمير قطر يأتي بأوامر أمريكية لمهمة محددة وهي تحويل المؤتمر منصة ضد سورية والتحريض على رئيسها و منع…,2
4079,216,216,سينهار اكثر وأكثر لطالما نموذج وئام وهام موجود في مجتمعنا ,0
2633,816,816,بتوصف جبران باسيل بغير المؤهل لرئاسة التيار،,2
4094,2884,2884,ولاك انت يمكن سوري او جربوع او حيوان بس كون اكيد انو الحريري بصرماينو داعس عليكم,0
3755,1764,1764,هودي يلي حكيت عنن كلن موجدين بتفكيرك وعقلق انت اول مفتن ومخرب والمأجور بس وضح اكتر للقطري حيناديلك ,1
424,1288,1288,العيش المشترك و صرماية وهاب سوى خلص قسموا و اعتقونا المصيبة فينا معشر الملاحدة و ال…,2
1081,5484,5484,الحمد لله كل من يعرف تاريخه جزمة ابن ستين جزمة حريمي يامرتزق ,1
2890,1758,1758,قلتلك اغطيني اسم الكتاب ومستعد ناقشك للصبح، يا كمل يا كول هوا,1
368,401,401,طالما الدليل عند القاضي ليش ما بقول وبخلصنا لازم نعرف القاتل ,2
4418,5246,5246,جبران باسيل حطرني لك ليش يا حيوان,1
533,4423,4423,أه يا هبيلة عفوا يا عميلة وهابية على يهودية على سفارات,1
4456,1914,1914,ايه كول هوا,1
4523,3521,3521,ال العرصى اللي بشغلهن ,1
2373,1227,1227,عنجد انو عماد عثمان عملك عقده ولازم تروح انتا عند طبيب نفسي حتي تتعالج منها شكلك اهبل ,1
1223,2439,2439,صاير بايخ خليك بالصرماي اهضم,1
3118,2610,2610,دولة رائعة بس نحنا عرصات,1
3624,1452,1452,الحقارة حينما تنطق وزير خارجية لبنان جبران باسيل مثالاً,1
1460,4638,4638,رح تضلك تعووي نبح لتشبع رص تضل تحت صرماية الشيخ سعد الحريري حثالة متلك لازم تندعس لكنك كل ,1
572,3979,3979,خليكن تلحسو جزمة السوري يا بلا شرف,0
3567,5497,5497,وهاب أقترح عرض العماد عثمان على طبيب نفسي ,2
910,724,724,ليس سرا موقف وزير خارجية لبنان باسيل جبران المؤيد للنظام السوري المجرم ولكن العجيب هو موقف بعض العرب المتعاطف,2
948,2569,2569,كول هوا انت يلعن زايدك وسلمانك,0
2249,5523,5523,طز ب فرنسا اوفكورس,0
