,text,true_label,without_label,adv_labels
0,كول هوا صرماية السيد تاج على راسك ورأس رؤساء العرب الانذال المتخاذلين ولك لولا السيد انت كنت,1,1,1
1, انتي مسخرة بشرفي,1,2,1
2,ماحدا بدو محاكمة ومشنقة غيرك ,1,2,1
3,نحتاج إلى سياسيين جدد عوضاً عن الفاسدين الحاليين ,2,2,2
4,سد بوزك يا صرصور يا خائن يا عميل انتم الذين يستعبدكم الإقطاعي وليد جنبلاط انتم يا قطعان يكفيكم إذلال وتلبية يكفي تجارة بكم,0,0,0
5,اقول انت مسكين ويمكن نايم امس من شرب الخمر اخبرك انه امس إسرائيل قصفت دمشق ومطارها تضرر ,2,2,2
6,من وراء مواقفكم ومؤمارتكم خسر بلدي لبنان الكثير من شبابه وتشتتوا باصقاع العالم للبحث عن حياة كريمة,2,2,0
7,معناها المسيحية ناجحين اكتر من الاسلام عالتعبير ,2,2,0
8,لعلها تكون قدوة يحتذى بها لبناء الدولة العادلة ,2,2,2
9,زوجة السيسي متأثرة بمقولة انا أنثى والانثى لا تنحني,2,2,2
10,كسالى عالات على البشرية كل اطبائكم و مهندسيكم و مدرسيكم سوريين نحن الي عملناكم بشر,0,2,0
11,منتمنى عليك تسكر تمك لانو خلص طفح الكيل العقاب لوهاب وهاب قاتل ابو دياب ,2,2,0
12,لو ما كان جحش ما كان صار قنصل بلا مؤاخذة,1,2,2
13,دويلة قطر بحق دولة مارقة فاسدة سيئة السمعة ,0,0,0
14,وين خطاباتك عن خلدة واميرها وعضلاته وما تركت كلمة قبيحة ما قلت عن تاريخه بدك نذكرك وهلق عم تتقاوى بعضلت… ,2,2,1
15,انت ك* امك عامو للغريب وعلى ام كل درزي معك لان الدروز منك براء يا مفتن يا وغد يا ابن الزنا يا عرس انت… ,1,0,0
16,اذا انت أهضم مني زحّط ههههه,2,1,1
17,العمر الو حق مبين عليكي الكبر,2,0,0
18,ولاك انت مسيحي شو لويش حاشر منخارك بين المسلمين,0,0,0
19,يا أخوتنا في لبنان كونوا على حذّر من مدبّر الفتن في الدول العربية ,2,2,0
20,سماحته مامات بس كان عنده اسهال شديد وعنده عقوبة إيرانية وعنده جبران باسيل سماحته بس يفطس ريحته راح تملى العالم,1,2,1
