,Unnamed: 0,Unnamed: 0.1,text_id,text,task_1,task_2,task_3,label
713,184,184,hasoc_hi_2378,विश्वसमुदाय पुरस्कार दे रहा है  यहां #कमीने 'गालियाँ'  जिनती गालियाँ दोगे   उतने ही पुरस्कार बढेगे  और हां   यह मत कहना पुरस्कार'हैक'करके लाये है ,NOT,NONE,NONE,2
3300,3629,3629,hasoc_hi_4977,BJP के नेता और PM सिर्फ़ अच्छे से बोलते है जहां चुनाव हो या जहां BJP सरकार न हो?    कैलाश विजयवर्गीय को मीडिया बहुत ही सभ्य बता रही थी बंगाल में शांति लाने वाले नेता बताये जा रहे थे।    लेक़िन कल कैसे के पुत्र ने कर्मचारी को पेला और बाप ने कैसे मीडिया को उसकी औकात दिखा दी।,HOF,HATE,UNT,0
3005,2084,2084,hasoc_hi_6797,एका माणसाने दुसऱ्याला #नीच म्हटले तर त्यात चुकीचे काय आहे...    #NeechAadmi,NOT,NONE,NONE,2
281,3426,3426,hasoc_hi_3414,"#TempleTerrorAttack #TempleDestroyed #ChandniChowk कौन कहता है के इस देश में मुसलमान डर के साये में है, वेस्ट बंगाल और दिल्ली में जा कर देख लो जहाँ आपको कश्मीर का अलगाववाद, आतंकवाद, पत्थरबाज, कठमुल्लावाद, इस्लामीकरण और देशद्रोहिता सब नज़र आ जायेगी...",HOF,HATE,TIN,0
3140,4037,4037,hasoc_hi_5021,"F Abdullah: If Art 370 is temporary then our accession is also temporary, when Maharaja acceded, it was temporary.Was said at that time that a plebiscite will happen & ppl will decide whether to go with India or Pakistan, so if that didn't happen,then how can they remove Art 370?",HOF,OFFN,UNT,1
1120,2379,2379,hasoc_hi_7615,"यह सुधरेगी नहीं कभी कश्मीर पे कभी महाराष्ट्र पे ,पैसे कमाने का यह #नीच ख्याल  अच्छा है ग़ालिब I इस पायल की दुकान बंद करवा दो तब अक्ल आएगी",NOT,NONE,NONE,2
1360,785,785,hasoc_hi_4391,चल आजा  मादरचोद मैं देखता हूं  तेरी चूत में कितना पानी भरा है..!,HOF,PRFN,UNT,1
3642,711,711,hasoc_hi_7534,मुश्किल में फंसे अनिल अंबानी को महाराष्ट्र सरकार ने दी राहत    कंपनी को मिला 7000 करोड़ रु का ऑर्डर  और BSNL-ONGC -JET को फूटी कौड़ी  #NewIndia,NOT,NONE,NONE,2
3146,3329,3329,hasoc_hi_4028,महाराष्ट्र के वर्धा मे 8 साल का दलित बच्चा मंदिर में खेलने गया तो उस बच्चे की पैंट उतारकर धूप से गरम हो चुकी टाइल्स पर बिठा दिया गया. इसके बाद उसकी जमकर पिटाई की गई. टाइल्स इतना गरम था कि बच्चे की कमर के नीचे का हिस्सा जल गया. पूरा स्कीन वहां से हट गया,HOF,HATE,UNT,0
4143,667,667,hasoc_hi_1061,Aap ke sarkar the to aaye din comment karate the ab enako kanun vyavastha dikhaye nahe de rahe dhritrastra hain dum dabakar rajya bhavan me baithe hain.,NOT,NONE,NONE,2
884,605,605,hasoc_hi_902,आपके इंतज़ार का दर्द तो हम चुपचाप सहते हैं;  क्योंकि आप ही हो जो हर पल हमारे दिल में रहते हो;  ना जाने हमें नींद आएगी भी या नहीं;  मगर आप ठीक से सो सको इसलिए आपको शुभ रात्रि कहते हैं।  शुभ रात्रि!   ,NOT,NONE,NONE,2
2547,1443,1443,hasoc_hi_5869,मेरी आंटी की चुदाई 3 s ,HOF,PRFN,TIN,1
2788,1230,1230,hasoc_hi_4415,"रुख बदल दूँगा इन हवाओं के,   शर्त ये है कि साथ निभाते रहिए !!   जब भी लडूं आपके हक के लिए,   बस आप आवाज से आवाज मिलाते रहिए  मिशन   #GoBackModi   #बीजेपी_भगाओ_देश_बचाओ  @AbbasAliRushdi @dralvirashah @yasarshah_SP @maheshwar_sp",NOT,NONE,NONE,2
686,152,152,hasoc_hi_2276,Wtf we lost the review bkz of that prick umpire who can't even see it was pad first. Chutiya umpiring so far this #CWc19,HOF,PRFN,UNT,1
