,text,true_label,without_label,adv_labels
0,@anked @Frixinator @Kulturradio_rbb @tazgezwitscher @robinalexander_ @Augstein @ENiejahr Und ein Mann kann Sie nicht repräsentieren?,2,2,2
1,bei dem Ergebnis wird es Zeit dass #Merkel nun zurücktritt. das mieseste Ergebnis geht schließlich auf Ihr Konto #CDU,2,2,2
2,wenn der #Bundespräsident mit seinem dummen Geschwätz auf die #SPD zielt sollte er bedenken dass 80% der deutschen die SPD nicht wollen,1,2,2
3,"@BVG_Tram |LBR| Ich hoffe, dass die M10 ab morgen dann mit F8Z fährt. |LBR| Ich werde das kontrollieren ☺",2,2,2
4,"""#Ökumene herzlicher Wertschätzung“ - #EKD-Spitze um @landesbischof Bedford-Strohm trifft @Pontifex_de im Februar in Rom.",2,2,2
5,"Wenn es legal ist, dass Nazis keine Meinungsfreiheit genießen, werden früher oder später all diejenigen zu Nazis erklärt werden, deren Meinung von der der Regierung abweicht.",2,0,0
6,BMW vs Fiat... Hmm.... Dürfte klar sein. Fiat spielt bei der WM nicht mit! #Tatort,2,2,2
7,"@OezcanMutlu @Hollstein63 @BILD_Politik @Senatskanzlei_B @rbb24 @tagesspiegel @TspBerlin @TspLeute @ronzheimer Danke, dass du gekommen bist!",2,2,2
8,@Der_Zyniker_2 schlimm das einer wie Volker Beck noch in Talkshows eingeladen wird,1,1,1
9,"@schneeridara @Golzheimer Glaubte Du echt, eine Frau mit befriedigendem Sexleben rennt durch die Welt und sieht überall böse Männer und sexuelle Gewalt?",0,1,0
10,"Nur wer unsere Werte, unsere Rechte und Freiheiten, unsere Gesetze und die Demokratie akzeptiert, sollte eine deutsche Staatsbürgerschaft erhalten.",2,2,2
11,@Frodilon Nein - das is ein schnödes Rechtschreibproblem ;),2,1,0
12,@PrenzlStimme @rspctfl @Volker_Beck Du darfst gerne ein repressives Regime unterstützen. Ich werde Dir dabei nicht im Weg stehen.,2,2,2
13,@ThomasMichael71 @JoeHellBack @alexa_jung60 @Tschonka @Mohrenpost Oder Indonesien. Selbst die Türkei ist mit Vorsicht zu genießen.,2,2,2
14,Mal ehrlich: Wer denkt bei Pforzheim nicht an Furzheim?,1,2,2
15,"@KonseqLiberal Nein, sowas nennt man ""Rechtschreibkorrektur""",2,2,2
16,Ich bin entsetzt über den Anschlag in #barcelona. Meine Gedanken sind bei den Opfern. Hass und Gewalt dürfen nicht siegen.,2,2,2
17,"Ich möchte ja die besinnliche Weihnachtsstimmung nicht stören. Aber neben PR-trächtigen Events für Wohnungslose wäre es doch schön, mehr bezahlbaren Wohnraum zu schaffen und den Sozialstaat zu stärken, oder?",2,2,2
18,Wer fickt #annewill eigentlich den ganzen Tag in den Kopf? Dass es zu so einer gästeliste kommt?,1,1,1
19,"Das Krebsgeschwür, das jeden Frieden im Nahen Osten verhindert, ist der dem Islam inhärente Herrschaftanspruch über andere Kulturen, und der dem Islam inhärente Antisemitismus. |LBR| #IStandWithIsrael |LBR| #Jerusalem",0,0,0
