,Unnamed: 0,text_id,text,task_1,task_2,task_3,label
0,0,hasoc_en_1,"# DhoniKeepsTheGlove | WATCH : Sports Minister Kiren Rijiju issues statement backing MS Dhoni over 'Balidaan Badge ' , tells BCCI to take up the matter with ICC and keep government in the know as nation 's pride is involved https : //t.co/zuo5335Rjr",NOT,NONE,NONE,2
1,1,hasoc_en_2,@ politico No . We should remember very clearly that # Individual1 just admitted to treason . # TrumpIsATraitor # McCainsAHero # JohnMcCainDay,HOF,HATE,TIN,0
2,2,hasoc_en_3,@ cricketworldcup Guess who would be the winner of this # CWC19 ? Team who gets maximum points from the abandoned matches 😄 # ShameOnICC # WIvsENG @ ICC,NOT,NONE,NONE,2
3,3,hasoc_en_4,Corbyn is too politically intellectual for # BorisJohnsonShouldNotBePM Ca n't wait # GeneralElectionNow https : //t.co/pt8KmjfxJj,NOT,NONE,NONE,2
4,4,hasoc_en_5,All the best to # TeamIndia for another swimming competition on Sunday against # Pakistan . # INDvPAK # ShameOnICC # CWC19 # CWC19Rains ☔☔ https : //t.co/MG2cIE0zib,NOT,NONE,NONE,2
5,5,hasoc_en_6,"@ kellymiller513 @ TheRealOJ32 I hope you remembered to wipe the blood off of you , after the pic was taken . # bloodonhishands # <SWEAR-2>",NOT,NONE,NONE,2
6,6,hasoc_en_7,@ ICC Latest design of # WC2019 trophy . # CWC2019 # CWC19 # ShameOnICC https : //t.co/g3mRuphBzE,NOT,NONE,NONE,2
7,7,hasoc_en_8,# ADOS # trendingnow # blacklivesmatter # justice # fucktrump ‘ Central Park Five ’ Prosecutor Elizabeth Lederer Out at Columbia Law School https : //t.co/7S1Lu7wi53,HOF,PRFN,TIN,1
8,8,hasoc_en_9,"Thanks for your support ! Wow 600k . Graffiti has a massive impact nowadays , do not forget to show your own opinion ! # AllColorsAreBeautiful # PowerToThePeople # FuckRacism # FuckTrump # MakeLoveNotWar… https : //t.co/4hc5UiDgLj",NOT,NONE,NONE,2
9,9,hasoc_en_10,By wearing the # BalidaanBadge over his gloves @ msdhoni has shown his love & amp ; respect for the forces . @ icc should understand that this is not related to any political/religious/racial activities This is about our # NationalPride # DhoniKeepsTheGlove,NOT,NONE,NONE,2
10,10,hasoc_en_11,"Mahendra Singh Dhoni 's love for the Nation , Armed Forces and Soldiers has been intact which is truly commendable . He is Nation 's Hero . No one represents our Country better than him . I stand with @ msdhoni # DhoniKeepsTheGlove # DhoniKeSaathDesh # IndiaWithDhoni https : //t.co/xFO4KNyj8b",NOT,NONE,NONE,2
11,11,hasoc_en_12,I don ’ t know how much more I can take ! 45 is a compulsive liar ! # Trump30Hours # TrumpIsATraitor,HOF,HATE,TIN,0
12,12,hasoc_en_13,# ShameOnICC @ ICC WINNER TEAM-RAIN ICC RUN UP TEAM-RAIN ICC MAN OF THE MATCH-RAIN ICC MAN OF THE SERIES-RAIN BEST BOWLER-RAIN BEST WICKETKEPER-RAIN https : //t.co/nEL5SXz6om,NOT,NONE,NONE,2
