,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,label,tweet
0,842,3,0,3,0,1,# anywere & # 8220 ; @ TheCooleyShow : LA = palm trees and great weather Any were else = horrible weather and no <SWEAR-NN> & # 8221 ;
1,17156,3,0,3,0,1,RT @ OfficialA1King : The face you make when you see a <SWEAR-NN> trying to preach on twitter http : //t.co/2T1UkUDQBw
2,24119,3,0,3,0,1,<SWEAR-NN> get off my twitter <SWEAR-NN> & # 128074 ;
3,10379,3,0,3,0,1,I can taste loud n <SWEAR-NN> on my <SWEAR-VBP> & # 128541 ;
4,8958,3,0,0,3,2,Diabetes galore & # 128514 ; & # 128514 ; & # 128514 ; & # 128514 ; & # 128514 ; RT @ TIME : Colorado health officials recommend <SWEAR-NN> brownie ban http : //t.co/Z59oy20TMp
5,4000,3,0,3,0,1,@ LaneBelgarde @ A7XDemery you <SWEAR-JJ> <SWEAR-NN> didnt even invite me
6,19313,3,0,3,0,1,RT @ djMemphis10 : Never hurt your Girlfriend to make a <SWEAR-NN> happy & # 128175 ; # djmemphis10
7,22552,3,0,0,3,2,This is why nothing gets done . <SWEAR-NNP> like Coburn trying 2 ad a <SWEAR-NN> amendment 2 a public works bill . Push back on the # teabagger # morningjoe
8,19145,3,0,3,0,1,RT @ ccancel14 : Miserable <SWEAR-NN> talk the most <SWEAR-VBD> & # 128514 ; & # 9996 ; & # 65039 ;
9,12309,3,0,3,0,1,Its gorg out ! RT @ @ anggxo : This <SWEAR-NN> thinks its june or something @ BriiiXO http : //t.co/mFVCmym
10,12565,3,2,1,0,0,Know why the ultimate warrior <SWEAR-JJ> ? <SWEAR-NN> LOVES <SWEAR-NN> # toosoon ? He was an anti-gay crusader <SWEAR-RB> a little light jokes are necessary
11,6103,3,1,2,0,1,@ eonline she looks like a real <SWEAR-NN> now
12,9344,3,1,2,0,1,<SWEAR-VBD> me den <SWEAR-NN>
13,23808,3,0,3,0,1,You got wild <SWEAR-NN> tellin you liessss
14,6810,3,0,3,0,1,@ makenzies_mask ur a boss <SWEAR-NN> <SWEAR-NN>
15,11123,3,0,3,0,1,I really wan na have a talk about life with the `` <SWEAR-NN> her right in the <SWEAR-NN> '' dude while smokin a blunt before I <SWEAR-JJ>
